Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
AHL,2023-03-23,298.8,328.6,298.8,328.6,0.00 %,3220.0,1055530.8,,,,,328.6,328.6,,0.0,0.0,29.80000000000001,,,,,0.0
AHL,2023-03-26,335.0,361.4,335.0,361.4,9.98 %,980.0,353522.0,0.09981740718198395,0.09514417255496022,,,333.6461538461539,331.02962962962965,99.99999999695122,2.616524216524226,0.5233048433048453,30.01428571428572,,,,,980.0
AHL,2023-03-27,368.6,397.5,368.6,397.5,9.99 %,6410.0,2547264.0,0.09988931931377976,0.09520955593625849,,,343.46982248520715,335.9533607681756,99.99999999697297,7.516461717031518,1.92193621805018,30.448979591836743,,,,,7390.0
AHL,2023-03-28,405.4,437.2,405.4,437.2,9.99 %,5420.0,2368772.0,0.09987421383647788,0.0951958222079968,,,357.8898497951753,343.4531118223848,99.99999999701598,14.436737972790468,4.424896568998237,31.109766763848405,,,,,12810.0
AHL,2023-03-29,445.9,480.9,445.0,448.0,2.47 %,52292.0,23775403.1,0.02470265324794152,0.02440247611260174,394.54,,371.75294982668674,351.1973257614674,99.99999999686416,20.55562406521932,7.651042068242455,32.009069137859235,,,,,65102.0
AHL,2023-03-30,440.1,450.0,430.4,437.6,-2.32 %,23220.0,10186483.0,-0.023214285714285632,-0.023487981307213628,416.34,,381.8832652379657,357.5975238532106,97.55272859514587,24.285741384755113,10.977981931544987,31.12270705658358,,,,,41882.0
AHL,2023-04-02,437.6,440.0,404.0,419.1,-4.23 %,19656.0,8296047.0,-0.0422760511882998,-0.04319569617674561,427.88,,387.6089167398171,362.15326282704683,93.18408175785709,25.455653912770288,13.873516327790046,31.471085123970468,,,,,22226.0
AHL,2023-04-03,411.0,412.0,390.2,398.0,-5.03 %,16906.0,6727166.8,-0.050345979479837766,-0.05165754964658814,427.98,,389.2075449336914,364.80857669171,88.32571720814464,24.39896824198138,15.978606710628315,31.28743618654401,,,,,5320.0
AHL,2023-04-04,399.0,407.9,388.0,393.6,-1.11 %,5547.0,2197591.3,-0.011055276381909507,-0.011116840106339305,419.26000000000005,,389.88330725158505,366.9412747145463,87.30351921416086,22.942032537038756,17.371291875910405,30.47404788750515,,,,,-227.0
AHL,2023-04-05,390.0,408.9,388.2,408.9,3.89 %,7492.0,2996571.0,0.038871951219512146,0.038135462192498214,411.43999999999994,,392.80895228980273,370.04932843939474,87.8309063386985,22.75962385040799,18.448958270809925,29.77590160982621,,,,,7265.0
AHL,2023-04-06,403.0,411.0,401.0,407.0,-0.46 %,5440.0,2205475.5,-0.004646612863780875,-0.004657441928001632,405.32000000000005,,394.9921903990639,372.7864152216618,87.34569102160957,22.205775177402074,19.200321652128356,28.36333720912434,,,,,1825.0
AHL,2023-04-09,400.1,402.0,390.1,392.0,-3.69 %,5680.0,2242547.0,-0.03685503685503688,-0.03755134565213248,399.9,,394.5318534145925,374.2096437237609,83.42721472838234,20.322209690831585,19.424699259869,27.5445274084726,,,,,-3855.0
AHL,2023-04-10,385.1,406.0,382.7,398.9,1.76 %,5370.0,2089464.1,0.017602040816326436,0.01744891912089831,400.08,,395.20387596619366,376.0385590034823,83.78751763851997,19.16531696271136,19.372822800437476,27.241346879295985,,,,,1515.0
AHL,2023-04-11,391.0,399.0,390.0,398.0,-0.23 %,3836.0,1513311.0,-0.0022562045625469374,-0.0022587536269231693,400.96,,395.63404889447156,377.6653324106318,83.53242058879138,17.968716483839785,19.092001537117937,25.938393530774842,,,,,-2321.0
AHL,2023-04-12,405.0,417.9,391.1,417.9,5.00 %,6880.0,2818297.2,0.050000000000000044,0.04879016416943205,402.76,,399.05957983378363,380.6456781579924,84.64557382310842,18.413901675791237,18.9563815648526,25.99993685000521,,,,,4559.0
AHL,2023-04-13,415.0,434.0,402.2,434.0,3.85 %,7351.0,3023348.5,0.03852596314907886,0.037802364646535275,408.15999999999997,,404.4350290901246,384.59785014628926,85.49958415753865,19.83717894383534,19.132541040649148,26.41422707500484,,,,,11910.0
AHL,2023-04-16,425.4,430.0,400.0,400.0,-7.83 %,19740.0,8082087.0,-0.07834101382488479,-0.08157998699242287,409.75999999999993,,403.75271692241313,385.738750135453,75.8988890268119,18.01396678696011,18.90882618991134,26.956067998218778,,,,,-7830.0
AHL,2023-04-17,398.0,400.0,392.3,400.0,0.00 %,3120.0,1234922.0,0.0,0.0,409.98,,403.1753758574265,386.79513901430835,75.89888902654195,16.380236843118155,18.403108320552704,25.58063456977458,,,,,-7830.0
AHL,2023-04-18,392.0,398.0,386.0,396.5,-0.88 %,2600.0,1024715.0,-0.008750000000000036,-0.008788506033079348,409.68,,402.14839495628394,387.51401760584105,74.89485334904127,14.63437735044289,17.649362126530743,24.753446386219256,,,,,-10430.0
AHL,2023-04-19,395.0,399.8,392.0,397.0,0.13 %,1840.0,728255.0,0.0012610340479193294,0.0012602396122877732,405.5,403.56,401.3563341937787,388.21668296837134,74.9458427800178,13.139651225407363,16.747419946306067,23.54248593006074,403.56,26.702205704280008,456.96441140856,350.15558859144,-8590.0
AHL,2023-04-20,404.9,404.9,385.0,394.0,-0.76 %,6555.0,2555631.0,-0.007556675062972307,-0.007585371389256612,397.5,406.83,400.2245904716589,388.645076822566,73.9750233710398,11.579513649092917,15.713838686863438,23.28230836362783,406.83,20.26882750484231,447.3676550096846,366.29234499031537,-15145.0
