Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
ALICL,2012-01-01,168.0,165.0,165.0,165.0,-1.79 %,50.0,8250.0,,,,,165.0,165.0,,0.0,0.0,0.0,,,,,0.0
ALICL,2012-01-02,165.0,175.0,168.0,173.0,4.85 %,1320.0,229140.0,0.048484848484848575,0.04734612059719842,,,166.23076923076923,165.59259259259258,99.9999999875,0.6381766381766454,0.1276353276353291,0.7142857142857142,,,,,1320.0
ALICL,2012-01-03,173.0,179.0,175.0,176.0,1.73 %,2370.0,422000.0,0.01734104046242768,0.01719240054037277,,,167.73372781065086,166.36351165980795,99.99999998691588,1.3702161508429072,0.37615149227684475,1.0918367346938775,,,,,3690.0
ALICL,2012-01-04,176.0,179.0,170.0,170.0,-3.41 %,390.0,67830.0,-0.03409090909090906,-0.034685557987889984,,,168.08238507055074,166.63288116648883,94.30508473323133,1.4495039040619133,0.5908219746338585,1.6567055393586005,,,,,3300.0
ALICL,2012-01-08,170.0,168.0,167.0,168.0,-1.18 %,160.0,26800.0,-0.0117647058823529,-0.011834457647002796,170.4,,168.06971044431216,166.73414922823042,92.4158021028472,1.335561216081743,0.7397698229234355,1.752655143690129,,,,,3140.0
ALICL,2012-01-09,168.0,171.0,168.0,171.0,1.79 %,200.0,33900.0,0.017857142857142794,0.017699577099400857,171.6,,168.5205242221103,167.0501381742874,92.65354926044493,1.470386047822899,0.8858930679033281,1.8417512048551197,,,,,3340.0
ALICL,2012-01-10,171.0,169.0,169.0,169.0,-1.17 %,80.0,13520.0,-0.011695906432748537,-0.01176484157958637,170.8,,168.59428972640103,167.19457238359945,90.61418276063986,1.39971734280158,0.9886579228829786,1.853054690222611,,,,,3260.0
ALICL,2012-01-11,169.0,171.0,170.0,171.0,1.18 %,630.0,107450.0,0.01183431952662728,0.01176484157958643,169.8,,168.96439899926241,167.4764559107402,90.83151075958129,1.4879430885222007,1.0885149560108232,1.8635507837781389,,,,,3890.0
ALICL,2012-01-12,171.0,172.0,172.0,172.0,0.58 %,70.0,12040.0,0.005847953216374213,0.005830920310793144,170.2,,169.4314145378374,167.8115332506854,90.94441616353605,1.619881287152026,1.1947882222390638,1.8018685849368432,,,,,3960.0
ALICL,2012-01-16,172.0,177.0,173.0,175.0,1.74 %,880.0,153980.0,0.01744186046511631,0.017291497110061043,171.6,,170.28811999355474,168.34401226915313,91.2909101189814,1.9441077244016185,1.3446521226715746,2.03030654315564,,,,,4840.0
ALICL,2012-01-17,175.0,177.0,174.0,174.0,-0.57 %,410.0,71530.0,-0.005714285714285672,-0.005730674708984983,172.2,,170.85917845608478,168.76297432328994,90.0539789194046,2.0962041327948384,1.4949625246962275,2.099570361501666,,,,,4430.0
ALICL,2012-01-18,174.0,173.0,173.0,173.0,-0.57 %,180.0,31140.0,-0.005747126436781658,-0.0057637047167501294,173.0,,171.18853561668712,169.0768280771203,88.75884601345889,2.1117075395668223,1.6183115276703466,2.0210296213944043,,,,,4250.0
ALICL,2012-01-22,173.0,176.0,162.0,162.0,-6.36 %,4030.0,667040.0,-0.06358381502890176,-0.06569525926539489,171.2,,169.77491475258142,168.5526185899262,75.83838841452948,1.2222961626552262,1.5391084546673226,2.8766703627233756,,,,,220.0
ALICL,2012-01-23,162.0,162.0,157.0,162.0,0.00 %,560.0,89730.0,0.0,0.0,169.2,,168.57877402141506,168.06723943511685,75.83838841344867,0.511534586298211,1.3335936809935005,3.028336765385992,,,,,220.0
ALICL,2012-01-25,162.0,160.0,150.0,152.0,-6.17 %,2630.0,412900.0,-0.06172839506172845,-0.06371581438610774,164.6,,166.0281934027358,166.87707355103413,65.74764564426974,-0.8488801482983206,0.8970989151351364,3.669169853572707,,,,,-2410.0
ALICL,2012-01-26,152.0,154.0,148.0,149.0,-1.97 %,1470.0,219750.0,-0.019736842105263164,-0.019934214900817253,159.6,,163.40847134077646,165.55284588058717,63.03782110413929,-2.1443745398107126,0.2888042241459666,3.8356577211746563,,,,,-3880.0
ALICL,2012-01-29,149.0,156.0,148.0,155.0,4.03 %,3020.0,458590.0,0.04026845637583887,0.03947881097378742,156.0,,162.1148603652724,164.77115359313626,66.05149526735298,-2.65629322786387,-0.3002152662560007,4.133110741090753,,,,,-860.0
ALICL,2012-01-31,155.0,152.0,145.0,148.0,-4.52 %,1180.0,173810.0,-0.04516129032258065,-0.046212843155131564,153.2,,159.94334338599973,163.5288459195706,59.913905803271064,-3.5855025335708888,-0.9572727197189783,4.5521742595842705,,,,,-2040.0
ALICL,2012-02-01,148.0,148.0,146.0,148.0,0.00 %,50.0,7380.0,0.0,0.0,150.4,,158.10590594199977,162.37856103663947,59.91390580241456,-4.272655094639703,-1.6203491947031234,4.369876098185395,,,,,-2040.0
ALICL,2012-02-02,148.0,150.0,148.0,150.0,1.35 %,250.0,37300.0,0.013513513513513598,0.01342302033214077,150.0,164.15,156.8588434893844,161.461630589481,61.1113074364452,-4.602787100096577,-2.216836775781814,4.200599234029296,164.15,10.085294140219053,184.3205882804381,143.9794117195619,-1790.0
ALICL,2012-03-13,150.0,164.0,150.0,160.0,6.67 %,890.0,138380.0,0.06666666666666665,0.06453852113757116,152.2,163.9,157.34209833717142,161.35336165692684,66.49959589729434,-4.011263319755415,-2.575722084576534,4.900556431598632,163.9,10.125008122153984,184.15001624430798,143.64998375569203,-900.0
ALICL,2012-03-14,160.0,164.0,162.0,164.0,2.50 %,140.0,22830.0,0.02499999999999991,0.024692612590371414,154.0,163.45,158.3663909006835,161.54940894159893,68.3864791762798,-3.183018040915414,-2.6971812758443106,4.83623097219873,163.45,9.896703332024517,183.24340666404902,143.65659333595096,-760.0
ALICL,2012-03-15,164.0,163.0,158.0,158.0,-3.66 %,470.0,75050.0,-0.03658536585365857,-0.037271394797231655,156.0,162.55,158.31002306980915,161.28648976073973,62.68323055973544,-2.976466690930579,-2.7530383588615646,4.919357331327393,162.55,9.506092229390797,181.56218445878162,143.5378155412184,-1230.0
ALICL,2012-03-18,158.0,156.0,156.0,156.0,-1.27 %,110.0,17160.0,-0.012658227848101222,-0.012739025777429714,157.6,161.85,157.95463490522312,160.89489792661084,60.86119860749648,-2.9402630213877217,-2.790483291366796,4.710831807661151,161.85,9.443878552017862,180.73775710403572,142.96224289596427,-1340.0
ALICL,2012-03-19,156.0,157.0,155.0,155.0,-0.64 %,350.0,54800.0,-0.0064102564102563875,-0.0064308903302904025,158.6,161.2,157.50007568903493,160.45823882093595,59.92330183553143,-2.958163131901017,-2.82401925947364,4.517200964256784,161.2,9.445689632397347,180.09137926479468,142.3086207352053,-1690.0
ALICL,2012-03-20,155.0,157.0,156.0,156.0,0.65 %,870.0,136270.0,0.006451612903225712,0.006430890330290331,157.8,160.45,157.26929481379878,160.127998908274,60.57755047476544,-2.858704094475229,-2.830956226473958,4.3374008953812995,160.45,9.219401738781773,178.88880347756353,142.01119652243645,-820.0
ALICL,2012-03-21,156.0,154.0,153.0,153.0,-1.92 %,400.0,61410.0,-0.019230769230769273,-0.019418085857101627,155.6,159.65,156.6124802270605,159.59999898914262,57.54263514335524,-2.987518762082118,-2.86226873359559,4.241872259996922,159.65,9.132215964433405,177.9144319288668,141.3855680711332,-1220.0
ALICL,2012-03-25,153.0,153.0,148.0,153.0,0.00 %,1390.0,209090.0,0.0,0.0,154.6,158.75,156.05671403828197,159.11111017513207,57.542635142320364,-3.0543961368501016,-2.900694214246492,4.296024241425713,158.75,8.83697376159721,176.4239475231944,141.0760524768056,-1220.0
ALICL,2012-03-26,153.0,151.0,151.0,151.0,-1.31 %,30.0,4530.0,-0.013071895424836555,-0.013158084577511088,153.6,157.7,155.27875803239243,158.51028719919637,55.39679379664868,-3.231529166803938,-2.966861204757982,4.132022509895306,157.7,8.41740052385218,174.53480104770435,140.86519895229563,-1250.0
ALICL,2012-03-27,151.0,153.0,150.0,150.0,-0.66 %,1200.0,181070.0,-0.0066225165562914245,-0.006644542718668613,152.6,156.45,154.46664141202436,157.87989555481147,54.3063256844307,-3.4132541427871104,-3.0561397923638074,4.051163759188498,156.45,7.5217229269279295,171.49344585385586,141.40655414614412,-2450.0
ALICL,2012-03-28,150.0,150.0,149.0,149.0,-0.67 %,260.0,38790.0,-0.00666666666666671,-0.006688988150796652,151.2,155.2,153.62561965632833,157.22212551371433,53.17899037007279,-3.5965058573860063,-3.1642130053682473,3.8332234906750338,155.2,6.453069445090254,168.1061388901805,142.2938611098195,-2710.0
ALICL,2012-03-29,149.0,156.0,151.0,156.0,4.70 %,950.0,147020.0,0.046979865771812124,0.04590970130407795,151.8,154.35,153.99090893997013,157.13159769788362,59.51454246666158,-3.1406887579134946,-3.159508155877297,4.059421812769674,154.35,4.923359999452614,164.19671999890522,144.50328000109477,-1760.0
ALICL,2012-04-01,156.0,156.0,148.0,150.0,-3.85 %,1100.0,164540.0,-0.038461538461538436,-0.03922071315328127,151.2,153.75,153.37692294920546,156.60333120174408,52.9062593313914,-3.2264082525386186,-3.172888175209562,4.340891683286126,153.75,4.666510022433592,163.08302004486717,144.41697995513283,-2860.0
ALICL,2012-04-02,150.0,156.0,148.0,154.0,2.67 %,770.0,117420.0,0.026666666666666616,0.026317308317373358,151.8,153.35,153.47278095702,156.41049185346677,56.383314837442164,-2.9377108964467595,-3.1258527194570016,4.602256563051403,153.35,4.246050796731065,161.84210159346213,144.85789840653786,-2090.0
ALICL,2012-04-03,154.0,155.0,149.0,155.0,0.65 %,110.0,16560.0,0.006493506493506551,0.00647251450561752,152.8,153.5,153.70773773286308,156.30601097543217,57.233429587316465,-2.5982732425690926,-3.02033682407942,4.702095379976304,153.5,4.248838850668125,161.99767770133624,145.00232229866376,-1980.0
ALICL,2012-04-04,155.0,155.0,153.0,155.0,0.00 %,220.0,33980.0,0.0,0.0,154.0,153.8,153.9065473124226,156.20926942169643,57.23342958611514,-2.3027221092738444,-2.8768138811183053,4.509088567120854,153.8,4.124381931367288,162.04876386273457,145.55123613726545,-1980.0
ALICL,2012-04-05,155.0,158.0,150.0,156.0,0.65 %,1090.0,168960.0,0.006451612903225712,0.006430890330290331,154.0,153.85,154.22861695666526,156.19376798305225,58.17877604257395,-1.965151026386991,-2.6944813101720424,4.7584393837550785,153.85,4.145701642094212,162.1414032841884,145.55859671581157,-890.0
ALICL,2012-04-08,156.0,156.0,150.0,156.0,0.00 %,690.0,105750.0,0.0,0.0,155.2,154.25,154.5011374248706,156.17941479912244,58.17877604118899,-1.6782773742518486,-2.491240522988004,4.8471222849154305,154.25,3.9319875782851836,162.11397515657038,146.38602484342962,-890.0
ALICL,2012-04-09,156.0,160.0,151.0,160.0,2.56 %,560.0,87740.0,0.02564102564102555,0.025317807984289786,156.4,154.85,155.34711628258282,156.46242111029855,62.06847701206428,-1.1153048277157325,-2.21605338393355,5.1437564074214706,154.85,3.842627938492584,162.53525587698516,147.16474412301483,-330.0
ALICL,2012-04-10,160.0,161.0,155.0,160.0,0.00 %,2830.0,451820.0,0.0,0.0,157.4,155.35,156.06294454680085,156.72446399101716,62.06847701051005,-0.6615194442163101,-1.905146595990102,5.204916664034223,155.35,3.8289066736849384,163.00781334736988,147.6921866526301,-330.0
ALICL,2012-04-11,160.0,172.0,160.0,172.0,7.50 %,110.0,18140.0,0.07499999999999996,0.07232066157962608,160.8,155.95,158.5147992319084,157.85598517686773,71.34218106249,0.6588140550406649,-1.3923544657839486,5.69027975946035,155.95,5.266327992663901,166.4826559853278,145.41734401467218,-220.0
ALICL,2012-04-12,172.0,175.0,164.0,175.0,1.74 %,2240.0,372010.0,0.01744186046511631,0.017291497110061043,164.6,156.5,161.05098396546097,159.12591220080347,73.11202793160581,1.9250717646575026,-0.7288692196956584,6.069545490927468,156.5,6.565459858828956,169.63091971765792,143.36908028234208,2020.0
ALICL,2012-04-15,175.0,177.0,177.0,177.0,1.14 %,160.0,28320.0,0.011428571428571344,0.011363758650315003,168.8,157.45,163.50467874000543,160.44991870444767,74.25359788497539,3.054760035557763,0.027856631355025807,5.778863670146936,157.45,8.009698069084397,173.46939613816878,141.4306038618312,2180.0
ALICL,2012-04-17,177.0,180.0,180.0,180.0,1.69 %,200.0,36000.0,0.016949152542372836,0.01680711831638119,172.8,158.65,166.0424204723123,161.8980728744886,75.90604838038172,4.144347597823696,0.8511548246487599,5.580373407993584,158.65,9.449449997918261,177.54889999583654,139.75110000416348,2380.0
ALICL,2012-04-18,180.0,189.0,174.0,186.0,3.33 %,2070.0,366870.0,0.03333333333333344,0.03278982282299097,178.0,160.2,169.1128173227258,163.68340080971166,78.83223247960066,5.429416513014132,1.7668071623218344,6.253203878851185,160.2,11.199624053840735,182.59924810768146,137.80075189231852,4450.0
ALICL,2012-04-19,186.0,196.0,189.0,191.0,2.69 %,880.0,168350.0,0.026881720430107503,0.026526754333428604,181.8,161.95,172.4800761961526,165.70685260158487,80.91261623808786,6.773223594567725,2.7680904487710127,6.520832173218958,161.95,13.08464346999343,188.11928693998686,135.7807130600131,5330.0
ALICL,2012-04-22,191.0,197.0,191.0,191.0,0.00 %,1120.0,215220.0,0.0,0.0,185.0,163.85,175.32929524289835,167.58041907554156,80.9126162363751,7.748876167356798,3.7642475924881698,6.48362987513189,163.85,14.408604885166424,192.66720977033285,135.03279022966714,5330.0
