Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
BHPL,2023-01-04,194.3,213.7,194.3,213.7,0.00 %,370.0,78066.7,,,,,213.7,213.7,,0.0,0.0,19.399999999999977,,,,,0.0
BHPL,2023-01-05,217.9,235.0,217.9,235.0,9.97 %,370.0,86528.0,0.09967243799719228,0.09501235181905698,,,216.97692307692307,215.27777777777777,99.99999999530516,1.6991452991453002,0.3398290598290601,19.535714285714267,,,,,370.0
BHPL,2023-01-08,239.7,258.5,239.7,258.5,10.00 %,430.0,110689.0,0.10000000000000009,0.09531017980432493,,,223.36508875739645,218.47942386831275,99.99999999533955,4.885664889083699,1.248996225679988,19.81887755102039,,,,,800.0
BHPL,2023-01-09,263.6,284.3,263.6,284.3,9.98 %,340.0,96150.0,0.09980657640232105,0.09513432470847025,,,232.73969048702776,223.35502210028957,99.99999999540596,9.384668386738184,2.8761306578916273,20.246100583090364,,,,,1140.0
BHPL,2023-01-10,289.9,312.7,289.9,312.7,9.99 %,1140.0,355915.0,0.09989447766443882,0.09521424580684136,260.84000000000003,,245.04127656594656,229.97316861137924,99.99999999550383,15.068107954567324,5.314526117226767,20.82852197001248,,,,,2280.0
BHPL,2023-01-12,318.9,343.9,318.9,343.9,9.98 %,2890.0,993256.0,0.09977614326830819,0.09510665297442485,286.88,,260.2503109404163,238.4121931586845,99.99999999562957,21.838117781731796,8.619244450127773,21.569341829297304,,,,,5170.0
BHPL,2023-01-17,350.7,378.2,350.7,378.2,9.97 %,4980.0,1880773.0,0.09973829601628381,0.0950722387861366,315.52,,278.396416949583,248.76684551730045,99.99999999578,29.629571432282546,12.82130984655873,22.478674555776067,,,,,10150.0
BHPL,2023-01-18,385.7,416.0,385.7,416.0,9.99 %,16324.0,6779761.0,0.09994711792702282,0.09526210403690624,347.02,,299.56619895733945,261.15448659009303,99.99999999595208,38.41171236724642,17.93939035069627,23.573054944649204,,,,,26474.0
BHPL,2023-01-19,424.3,439.6,401.2,419.1,0.75 %,21229.0,8857146.3,0.007451923076923217,0.007424294669762681,373.98,,317.95601450236416,272.85415425008614,99.99999999568237,45.101860252278016,23.371884331012623,24.632122448602836,,,,,47703.0
BHPL,2023-01-23,410.8,420.0,405.0,412.0,-1.69 %,11120.0,4583428.0,-0.016941064185158727,-0.01708620558149949,393.84,,332.4243199635389,283.16125393526494,97.69623943033264,49.263066028273954,28.55012067046489,23.944113702274063,,,,,36583.0
BHPL,2023-01-24,412.0,412.0,400.0,408.0,-0.97 %,6710.0,2725917.0,-0.009708737864077666,-0.009756174945364685,406.66,,344.05134766145596,292.40856845857866,96.3495319413007,51.64277920287731,33.16865237694738,23.0909627235402,,,,,29873.0
BHPL,2023-01-25,402.1,448.8,402.1,442.0,8.33 %,13179.0,5613533.4,0.08333333333333326,0.08004270767353636,419.41999999999996,,359.12037109815503,303.4894152394247,96.75854655510892,55.63095585873032,37.661113073303966,24.777322529001616,,,,,43052.0
BHPL,2023-01-26,450.8,486.2,442.1,486.2,10.00 %,10923.0,5121572.3,0.09999999999999987,0.09531017980432474,433.46000000000004,,378.6710832369004,317.02353262909696,97.1980643517586,61.64755060780345,42.458400580203865,26.164656634072927,,,,,53975.0
