Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
BNT,2012-09-11,1000.0,1018.0,1018.0,1018.0,1.80 %,30.0,30540.0,,,,,1018.0,1018.0,,0.0,0.0,0.0,,,,,0.0
BNT,2012-12-02,1018.0,1038.0,1018.0,1038.0,1.96 %,100.0,102800.0,0.01964636542239684,0.01945586661536588,,,1021.0769230769231,1019.4814814814815,99.999999995,1.5954415954415708,0.3190883190883142,1.4285714285714284,,,,,100.0
BNT,2012-12-04,1038.0,1058.0,1018.0,1058.0,1.93 %,120.0,124560.0,0.019267822736030782,0.019084548692410698,,,1026.7573964497042,1022.3347050754459,99.999999995,4.4226913742583065,1.1398089301223127,4.183673469387754,,,,,220.0
BNT,2012-12-13,1058.0,1079.0,1079.0,1079.0,1.98 %,50.0,53950.0,0.01984877126654072,0.019654352839890046,,,1034.7947200728267,1026.5321343291166,99.99999999501779,8.262585743710133,2.564364292839877,5.384839650145771,,,,,270.0
BNT,2012-12-16,1079.0,1100.0,1100.0,1100.0,1.95 %,100.0,110000.0,0.019462465245597693,0.01927549352832717,1058.6,,1044.8263016000842,1031.9741984528857,99.9999999950342,12.852103147198477,4.621912063711598,6.500208246563931,,,,,370.0
BNT,2012-12-27,1100.0,1144.0,1100.0,1144.0,4.00 %,100.0,111320.0,0.040000000000000036,0.03922071315328133,1083.8,,1060.0837936616097,1040.2724059748941,99.9999999954217,19.811387686715534,7.659807188312385,9.178764800380794,,,,,470.0
BNT,2013-01-08,1144.0,1166.0,1166.0,1166.0,1.92 %,101.0,117766.0,0.019230769230769162,0.01904819497069441,1109.4,,1076.3785946367466,1049.585561087865,99.99999999542406,26.793033548881567,11.486452460426221,10.094567314639308,,,,,571.0
BNT,2013-01-20,1166.0,1189.0,1189.0,1189.0,1.97 %,10.0,11890.0,0.019725557461406584,0.019533529780344207,1135.6,,1093.7049646926318,1059.912556562838,99.99999999544116,33.792408129793785,15.947643594299734,11.016383935022214,,,,,581.0
BNT,2013-02-07,1189.0,1190.0,1190.0,1190.0,0.08 %,40.0,47600.0,0.000841042893187538,0.0008406894147932238,1157.8,,1108.5195855091501,1069.5486634841093,99.99999999510763,38.97092202504086,20.55229928044796,10.300927939663485,,,,,621.0
BNT,2013-03-06,1190.0,1213.0,1213.0,1213.0,1.93 %,10.0,12130.0,0.019327731092436906,0.019143322838474995,1180.4,,1124.5934954308193,1080.1746884112122,99.99999999515101,44.41880701960713,25.325600828279796,11.208004515401807,,,,,631.0
BNT,2013-03-20,1213.0,1237.0,1237.0,1237.0,1.98 %,28.0,34636.0,0.01978565539983501,0.019592463448437663,1199.0,,1141.8868038260778,1091.7913781585298,99.99999999520708,50.09542566754794,30.279565796133426,12.121718478587391,,,,,659.0
BNT,2013-03-27,1237.0,1286.0,1261.0,1286.0,3.96 %,20.0,25470.0,0.039611964430072755,0.038847532405076796,1223.0,,1164.058064775912,1106.1772019986388,99.99999999562819,57.88086277727325,35.799825192361396,14.755881444402577,,,,,679.0
BNT,2013-05-09,1286.0,1290.0,1290.0,1290.0,0.31 %,20.0,25800.0,0.0031104199066873672,0.0031055925581530666,1243.2,,1183.4337471180795,1119.7937055542952,99.99999999535439,63.64004156378428,41.36786846664597,13.987604198373823,,,,,699.0
BNT,2013-06-04,1290.0,1290.0,1290.0,1290.0,0.00 %,20.0,25800.0,0.0,0.0,1263.2,,1199.8285552537595,1132.40157921694,99.99999999499703,67.4269760368195,46.57968998068068,12.988489612775693,,,,,699.0
BNT,2013-06-16,1290.0,1305.0,1305.0,1305.0,1.16 %,700.0,913500.0,0.011627906976744207,0.011560822401076006,1281.6,,1216.008777522412,1145.1866474230926,99.99999999490623,70.82213009931934,51.428178004408416,13.132168926148857,,,,,1399.0
BNT,2013-06-19,1305.0,1315.0,1315.0,1315.0,0.77 %,202.0,265630.0,0.00766283524904221,0.007633624855071205,1297.2,,1231.2381963651178,1157.7654142806414,99.99999999472124,73.47278208447642,55.837098820422014,12.908442574281082,,,,,1601.0
BNT,2013-07-02,1315.0,1315.0,1315.0,1315.0,0.00 %,486.0,639090.0,0.0,0.0,1303.0,,1244.1246276935613,1169.4124206302236,99.99999999431517,74.7122070633377,59.612120469005156,11.986410961832433,,,,,1601.0
