Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
GBIME,2012-09-09,514.0,175.0,163.0,175.0,-65.95 %,50.0,8450.0,,,,,175.0,175.0,,0.0,0.0,12.0,,,,,0.0
GBIME,2012-09-10,175.0,192.0,178.0,192.0,9.71 %,254.0,46952.0,0.0971428571428572,0.09270939810426754,,,177.6153846153846,176.25925925925927,99.99999999411764,1.3561253561253466,0.27122507122506934,12.357142857142856,,,,,254.0
GBIME,2012-09-11,192.0,211.0,195.0,211.0,9.90 %,376.0,76246.0,0.09895833333333326,0.09436276144828488,,,182.75147928994082,178.8326474622771,99.99999999416667,3.9188318276637233,1.0007464225128002,12.831632653061224,,,,,630.0
GBIME,2012-09-12,211.0,232.0,215.0,232.0,9.95 %,1131.0,261246.0,0.09952606635071093,0.09487923819024349,,,190.3281747837961,182.7709698724788,99.99999999425893,7.557204911317314,2.3120381202737033,13.415087463556851,,,,,1761.0
GBIME,2012-09-13,232.0,255.0,236.0,255.0,9.91 %,27430.0,6741617.0,0.09913793103448265,0.09452617349211609,213.0,,200.27768635551976,188.1212684004433,99.9999999943874,12.15641795507645,4.280914087234253,14.09972407330279,,,,,29191.0
GBIME,2012-09-16,255.0,260.0,243.0,260.0,1.96 %,9406.0,2340578.0,0.019607843137254832,0.019418085857101516,230.0,,209.46573460851673,193.44561888929937,99.99999999408338,16.020115719217358,6.628754413630874,14.306886639495447,,,,,38597.0
GBIME,2012-09-17,260.0,270.0,253.0,270.0,3.85 %,6296.0,1616864.0,0.03846153846153855,0.03774032798284711,245.6,,218.77869851489876,199.1163137863883,99.99999999390563,19.66238472851046,9.235480476606792,14.499251879531487,,,,,44893.0
GBIME,2012-09-18,270.0,277.0,260.0,275.0,1.85 %,8686.0,2324093.0,0.0185185185185186,0.018349138668196617,258.4,,227.42812951260663,204.73732757998917,99.99999999358715,22.69080193261746,11.926544767808927,14.677876745279237,,,,,53579.0
GBIME,2012-09-19,275.0,271.0,261.0,270.0,-1.82 %,4336.0,1158047.0,-0.018181818181818188,-0.01834913866819654,266.0,,233.9776480491287,209.57159961110108,97.59288920187531,24.406048438027625,14.422445501852668,14.629456977759292,,,,,49243.0
GBIME,2012-09-20,270.0,267.0,260.0,260.0,-3.70 %,11416.0,2989980.0,-0.03703703703703709,-0.037740327982847086,267.0,,237.9810868108012,213.30703667694544,92.782535663155,24.674050133855758,16.472766428253287,14.298781479347912,,,,,37827.0
GBIME,2012-09-23,260.0,255.0,245.0,247.0,-5.00 %,5384.0,1333421.0,-0.050000000000000044,-0.05129329438755058,264.4,,239.36861191683178,215.80281173791246,86.79327864014877,23.565800178919318,17.891373178386495,14.348868516537348,,,,,32443.0
