Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
JOSHI,2019-01-07,279.0,279.0,279.0,279.0,0.00 %,10.0,2790.0,,,,,279.0,279.0,,0.0,0.0,0.0,,,,,0.0
JOSHI,2019-01-09,279.0,279.0,274.0,274.0,-1.79 %,80.0,5480.0,-0.017921146953404965,-0.01808367543329535,,,278.2307692307692,278.6296296296296,0.0,-0.3988603988603927,-0.07977207977207855,0.3571428571428571,,,,,-80.0
JOSHI,2019-01-16,274.0,274.0,261.0,269.0,-1.82 %,50.0,5220.0,-0.018248175182481785,-0.01841672678623115,,,276.81065088757396,277.91632373113856,0.0,-1.105672843564605,-0.2849522325305839,1.260204081632653,,,,,-130.0
JOSHI,2019-01-17,269.0,269.0,243.0,243.0,-9.67 %,70.0,4860.0,-0.09665427509293678,-0.10164993626129062,,,271.6090122894857,275.32992938068384,0.0,-3.720917091198146,-0.9721452042640963,3.027332361516035,,,,,-200.0
JOSHI,2019-01-23,243.0,243.0,231.0,231.0,-4.94 %,500.0,4620.0,-0.04938271604938271,-0.050643732818754915,259.2,,265.36147193725714,272.04623090804057,0.0,-6.6847589707834345,-2.1146679575679643,3.668237192836318,,,,,-700.0
JOSHI,2019-01-29,231.0,231.0,220.0,220.0,-4.76 %,20.0,4400.0,-0.04761904761904767,-0.048790164169432056,247.4,,258.3827839469099,268.190954544482,0.0,-9.808170597572087,-3.653368485568789,4.191934536205153,,,,,-720.0
JOSHI,2019-02-07,209.0,220.0,201.0,201.0,-8.64 %,60.0,4020.0,-0.08636363636363631,-0.09032263829328573,232.8,,249.554663339693,263.21384680044633,0.0,-13.659183460753326,-5.654531480605696,5.249653497904785,,,,,-780.0
JOSHI,2019-02-10,191.0,201.0,191.0,191.0,-4.98 %,20.0,3820.0,-0.04975124378109452,-0.051031480012445875,217.2,,240.54625359512485,257.8646729633762,0.0,-17.31841936825137,-7.987309058134832,5.588963962340158,,,,,-800.0
JOSHI,2019-02-26,182.0,191.0,176.0,176.0,-7.85 %,60.0,3520.0,-0.07853403141361259,-0.08178943300847812,203.8,,230.61606073433643,251.80062311423725,0.0,-21.184562379900825,-10.626759722488032,6.261180822173004,,,,,-860.0
JOSHI,2019-03-03,168.0,176.0,168.0,168.0,-4.55 %,10.0,1680.0,-0.045454545454545414,-0.04652001563489282,191.2,,220.98282062136158,245.59316955021967,0.0,-24.610348928858087,-13.423477563762045,6.385382192017789,,,,,-870.0
JOSHI,2019-03-05,160.0,168.0,160.0,160.0,-4.76 %,20.0,3200.0,-0.04761904761904767,-0.048790164169432056,179.2,,211.60084821807519,239.2529347687219,0.0,-27.652086550646715,-16.26919936113898,6.50071203544509,,,,,-890.0
JOSHI,2019-04-09,152.0,152.0,147.0,147.0,-8.12 %,50.0,2940.0,-0.08125000000000004,-0.08474122845509066,168.4,,201.66225618452515,232.41938404511288,0.0,-30.75712786058773,-19.166785061028733,6.964946890056155,,,,,-940.0
