Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
MDB,2012-01-09,96.0,95.0,95.0,95.0,-1.04 %,300.0,28500.0,,,,,95.0,95.0,,0.0,0.0,0.0,,,,,0.0
MDB,2012-01-11,95.0,94.0,93.0,93.0,-2.11 %,360.0,33740.0,-0.021052631578947323,-0.02127739844728485,,,94.6923076923077,94.85185185185185,0.0,-0.15954415954415424,-0.03190883190883085,0.14285714285714285,,,,,-360.0
MDB,2012-01-12,93.0,92.0,91.0,91.0,-2.15 %,330.0,30170.0,-0.021505376344086002,-0.021739986636405875,,,94.12426035502959,94.5665294924554,0.0,-0.44226913742581075,-0.11398089301222684,0.2755102040816326,,,,,-690.0
MDB,2012-01-16,91.0,90.0,89.0,89.0,-2.20 %,230.0,20650.0,-0.02197802197802201,-0.022223136784710235,,,93.33591260810196,94.15419397449574,0.0,-0.8182813663937765,-0.2548409876885368,0.3986880466472303,,,,,-920.0
MDB,2012-01-17,89.0,92.0,90.0,92.0,3.37 %,270.0,24570.0,0.03370786516853941,0.03315220731690055,92.0,,93.13038759147089,93.99462405045901,10.34482758121284,-0.8642364589881169,-0.37672008194845286,0.5844960433152853,,,,,-650.0
MDB,2012-01-18,92.0,93.0,91.0,91.0,-1.09 %,130.0,11900.0,-0.010869565217391353,-0.010929070532190317,91.2,,92.80263565432152,93.7728000467213,9.974424547429706,-0.9701643923997807,-0.49540894403871844,0.6856034687927648,,,,,-780.0
MDB,2012-01-22,90.0,93.0,91.0,92.0,2.22 %,550.0,50670.0,0.01098901098901095,0.01092907053219023,91.0,,92.67915324596437,93.64148152474193,13.316916075669326,-0.9623282787775622,-0.5887928109864873,0.7794889353075674,,,,,-230.0
MDB,2012-01-23,92.0,93.0,93.0,93.0,1.09 %,20.0,1860.0,0.010869565217391353,0.010810916104215676,91.4,,92.72851428504677,93.59396437476104,16.649619584430482,-0.8654500897142725,-0.6441242667320444,0.7952397256427411,,,,,-210.0
MDB,2012-01-25,93.0,94.0,93.0,94.0,1.08 %,200.0,18740.0,0.010752688172043001,0.01069528911674795,92.4,,92.92412747196266,93.6240410877417,19.963487283439335,-0.6999136157790389,-0.6552821365414434,0.8098654595254025,,,,,-10.0
MDB,2012-01-26,94.0,95.0,94.0,94.0,0.00 %,160.0,15060.0,0.0,0.0,92.8,,93.08964632242996,93.65188989605713,19.96348728258458,-0.5622435736271711,-0.636674423958589,0.8234464981307309,,,,,-10.0
MDB,2012-01-29,94.0,97.0,95.0,97.0,3.19 %,140.0,13340.0,0.03191489361702127,0.031416196233378914,94.0,,93.69123919590227,93.89989805190476,29.689569926028128,-0.20865885600248646,-0.5510713103673686,0.9789146054071073,,,,,130.0
MDB,2012-01-31,97.0,97.0,95.0,97.0,0.00 %,170.0,16220.0,0.0,0.0,95.0,,94.2002793196096,94.12953523324515,29.689569924732993,0.0707440863644564,-0.4267082310210036,1.0518492764494567,,,,,130.0
MDB,2012-02-01,97.0,97.0,96.0,97.0,0.00 %,230.0,22270.0,0.0,0.0,95.8,,94.6310055781312,94.34216225300477,29.689569923338226,0.28884332512642175,-0.2835979197915185,1.048145756703067,,,,,130.0
MDB,2012-02-02,97.0,98.0,96.0,98.0,1.03 %,550.0,53340.0,0.010309278350515427,0.010256500167189061,96.6,,95.14931241226486,94.61311319722664,33.075423884372825,0.5361992150382235,-0.1196384928255701,1.1161353455099907,,,,,680.0
MDB,2012-02-05,98.0,100.0,98.0,100.0,2.04 %,580.0,57640.0,0.020408163265306145,0.02020270731751947,97.8,,95.89557204114719,95.01214184928392,39.36454275834978,0.883430191863269,0.08097524411219773,1.1792685351164198,,,,,1260.0
MDB,2012-02-06,100.0,99.0,99.0,99.0,-1.00 %,170.0,16830.0,-0.010000000000000009,-0.01005033585350145,98.2,,96.37317634250915,95.30753874933696,37.46859539693493,1.0656375931721982,0.27790771392419783,1.1664636397509613,,,,,1090.0
MDB,2012-02-07,99.0,100.0,99.0,99.0,0.00 %,280.0,27860.0,0.0,0.0,98.6,,96.7773030590462,95.58105439753422,37.468595394991475,1.1962486615119872,0.4615759034417557,1.1545733797687499,,,,,1090.0
MDB,2012-02-08,99.0,100.0,98.0,98.0,-1.01 %,250.0,24660.0,-0.010101010101010055,-0.010152371464017962,98.8,,96.9654102807314,95.76023555327242,35.486374445071306,1.2051747274589815,0.6102956682452009,1.2149609954995535,,,,,840.0
MDB,2012-02-09,98.0,99.0,99.0,99.0,1.02 %,20.0,1980.0,0.010204081632652962,0.010152371464017908,99.0,,97.2784240836958,96.00021810488187,38.963792256460884,1.2782059788139293,0.7438777303589466,1.1996066386781568,,,,,860.0
MDB,2012-02-12,99.0,100.0,98.0,98.0,-1.01 %,340.0,33520.0,-0.010101010101010055,-0.010152371464017962,98.6,95.3,97.38943576312721,96.14835009711284,36.826096961247565,1.2410856660143708,0.8433193174900314,1.2567775930582883,95.3,3.2943332525637743,101.88866650512755,88.71133349487245,520.0
MDB,2012-02-13,98.0,100.0,99.0,99.0,1.02 %,670.0,66450.0,0.010204081632652962,0.010152371464017908,98.6,95.5,97.63721487649225,96.35958342325263,40.350427249314265,1.2776314532396214,0.9301817446399494,1.309864907839839,95.5,3.395042825867405,102.29008565173481,88.70991434826519,1190.0
MDB,2012-02-14,99.0,101.0,100.0,101.0,2.02 %,80.0,8040.0,0.02020202020202011,0.020000666706669435,99.0,95.9,98.15456643395498,96.70331798449318,46.748976686046426,1.4512484494618008,1.0343950856043198,1.3591602715655648,95.9,3.552612085716507,103.00522417143301,88.794775828567,1270.0
MDB,2012-02-15,101.0,101.0,98.0,98.0,-2.97 %,540.0,53240.0,-0.02970297029702973,-0.030153038170687558,99.0,96.25,98.13078698257729,96.79936850416034,39.844666000747885,1.3314184784169498,1.093799764166846,1.4763631093108815,96.25,3.3853399114105978,103.0206798228212,89.4793201771788,730.0
MDB,2012-02-16,98.0,100.0,99.0,100.0,2.04 %,440.0,43900.0,0.020408163265306145,0.02020270731751947,99.2,96.8,98.41835821602695,97.03645231866697,45.611635331800365,1.381905897359971,1.1514209908054711,1.5137657443601042,96.8,3.01923657133459,102.83847314266917,90.76152685733082,1170.0
MDB,2012-02-21,100.0,100.0,99.0,100.0,0.00 %,320.0,31920.0,0.0,0.0,99.6,97.2,98.66168772125357,97.25597436913608,45.61163532944584,1.4057133521174876,1.2022794630678746,1.4770681911915253,97.2,2.8764012603470945,102.95280252069419,91.44719747930581,1170.0
MDB,2012-02-26,100.0,100.0,98.0,98.0,-2.00 %,200.0,19640.0,-0.020000000000000018,-0.020202707317519466,99.4,97.55,98.55988961029149,97.3110873788297,41.04777365165955,1.248802231461795,1.2115840167466587,1.5144204632492735,97.55,2.480980281641669,102.51196056328334,92.58803943671666,970.0
MDB,2012-02-27,98.0,100.0,98.0,99.0,1.02 %,660.0,64970.0,0.010204081632652962,0.010152371464017908,99.0,97.9,98.62759890101587,97.4361920174349,44.06162193913417,1.1914068835809672,1.2075485901135206,1.5491047158743254,97.9,2.1250386993380266,102.15007739867606,93.64992260132395,1630.0
MDB,2012-02-28,99.0,99.0,97.0,97.0,-2.02 %,960.0,94120.0,-0.02020202020202022,-0.020408871631207123,98.8,98.1,98.37719907009036,97.40388149762492,39.69113910900683,0.973317572465433,1.1607023865839032,1.5813115218833023,98.1,1.8035053587243408,101.70701071744868,94.4929892825513,670.0
MDB,2012-02-29,97.0,97.0,97.0,97.0,0.00 %,240.0,23280.0,0.0,0.0,98.2,98.25,98.16532229007645,97.37396434965271,39.69113910688692,0.7913579404237367,1.08683349735187,1.4683606988916378,98.25,1.5517392618742856,101.35347852374858,95.14652147625142,670.0
MDB,2012-03-01,97.0,98.0,98.0,98.0,1.03 %,120.0,11760.0,0.010309278350515427,0.010256500167189061,97.8,98.45,98.13988809160315,97.42033736078955,42.971347382898884,0.7195507308136087,1.0133769440442177,1.4349063632565209,98.45,1.190974832912781,100.83194966582556,96.06805033417444,790.0
MDB,2012-03-04,98.0,99.0,98.0,99.0,1.02 %,200.0,19790.0,0.010204081632652962,0.010152371464017908,98.0,98.55,98.27221300058729,97.53734940813847,46.12691042055822,0.7348635924488178,0.9576742737251378,1.4038416230239124,98.55,1.1459310165698846,100.84186203313976,96.25813796686023,990.0
MDB,2012-03-05,99.0,100.0,99.0,99.0,0.00 %,100.0,9920.0,0.0,0.0,98.0,98.65,98.38418023126616,97.6456938964245,46.12691041780955,0.738486334841653,0.9138366859484409,1.3749957928079186,98.65,1.0894228312566268,100.82884566251326,96.47115433748675,990.0
MDB,2012-03-06,99.0,100.0,99.0,100.0,1.01 %,60.0,5960.0,0.010101010101010166,0.010050335853501506,98.6,98.8,98.63276788799445,97.8200869411338,49.37563366587304,0.8126809468606524,0.8936055381308832,1.3482103790359243,98.8,1.0563093645728294,100.91261872914566,96.68738127085433,1050.0
MDB,2012-03-11,100.0,104.0,102.0,102.0,2.00 %,120.0,12320.0,0.020000000000000018,0.01980262729617973,99.6,99.0,99.15080359753377,98.12971013067944,55.19507467931026,1.0210934668543246,0.9191031238755716,1.5376239233905014,99.0,1.2565617248751022,101.51312344975021,96.48687655024979,1170.0
MDB,2012-03-12,102.0,104.0,104.0,104.0,1.96 %,20.0,2080.0,0.019607843137254832,0.019418085857101516,100.8,99.2,99.8968338132978,98.56454641729579,60.13072812007902,1.332287396002016,1.0017399783008605,1.5706507860054655,99.2,1.673320053068161,102.54664010613632,95.85335989386368,1190.0
MDB,2012-03-13,104.0,104.0,104.0,104.0,0.00 %,40.0,4160.0,0.0,0.0,101.8,99.45,100.52809014971352,98.96717260860721,60.130728116512294,1.5609175411063063,1.1135754908619497,1.4584614441479322,99.45,1.9861361590045348,103.42227231800908,95.47772768199093,1190.0
MDB,2012-03-14,104.0,102.0,102.0,102.0,-1.92 %,140.0,14280.0,-0.019230769230769273,-0.019418085857101627,102.4,99.6,100.75453781898837,99.19182648945113,53.318819784441885,1.5627113295372368,1.2034026585970072,1.497142769565937,99.6,2.06219096568368,103.72438193136736,95.47561806863263,1050.0
MDB,2012-03-15,102.0,100.0,100.0,100.0,-1.96 %,140.0,14000.0,-0.019607843137254943,-0.019802627296179754,102.4,99.7,100.63845507760554,99.25169119393622,47.52126324669311,1.3867638836693175,1.2400749036114693,1.53306114316837,99.7,2.0287408591745346,103.75748171834907,95.64251828165094,910.0
MDB,2012-03-18,100.0,99.0,98.0,98.0,-2.00 %,460.0,45220.0,-0.020000000000000018,-0.020202707317519466,101.6,99.65,100.23253891182007,99.15897332771873,42.53992668821539,1.0735655841013454,1.2067730397094447,1.5664139186563437,99.65,2.058998223459784,103.76799644691957,95.53200355308044,450.0
MDB,2012-03-27,98.0,97.0,95.0,95.0,-3.06 %,110.0,10550.0,-0.030612244897959218,-0.03109058707003112,99.8,99.5,99.42753292538622,98.8509012293692,36.379745242580746,0.5766316960170172,1.0807447709709592,1.6688129244666048,99.5,2.2826577307580505,104.06531546151611,94.93468453848389,340.0
MDB,2012-03-28,95.0,95.0,94.0,94.0,-1.05 %,290.0,27520.0,-0.010526315789473717,-0.010582109330536972,97.8,99.25,98.5925278599422,98.49157521237889,34.58207021922216,0.1009526475633038,0.8847863462894282,1.6210405727189903,99.25,2.593006789525692,104.43601357905138,94.06398642094862,50.0
MDB,2012-03-29,94.0,97.0,95.0,96.0,2.13 %,160.0,15340.0,0.02127659574468077,0.021053409197832263,96.6,99.0,98.19367741995109,98.30701408553601,40.874796717152584,-0.11333666558492439,0.6851617439145578,1.7195376746676339,99.0,2.6556791182195543,104.3113582364391,93.6886417635609,210.0
MDB,2012-04-01,96.0,95.0,95.0,95.0,-1.04 %,50.0,4750.0,-0.01041666666666663,-0.010471299867295366,95.6,98.85,97.7023424322663,98.0620500792,38.861903143593835,-0.3597076469336997,0.47618786574490635,1.6681421264770886,98.85,2.796143961356711,104.44228792271342,93.25771207728657,160.0
MDB,2012-04-02,95.0,95.0,95.0,95.0,0.00 %,140.0,13300.0,0.0,0.0,95.0,98.6,97.28659744268687,97.83523155481483,38.861903141532856,-0.5486341121279565,0.27122347017033377,1.5489891174430108,98.6,2.909150717088556,104.41830143417711,92.78169856582288,160.0
MDB,2012-04-03,95.0,94.0,94.0,94.0,-1.05 %,60.0,5640.0,-0.010526315789473717,-0.010582109330536972,94.8,98.3,96.78096706688889,97.55114032853224,36.76229983929406,-0.7701732616433503,0.06294412380759695,1.5097756090542243,98.3,3.062506713204245,104.42501342640848,92.17498657359151,100.0
MDB,2012-04-04,94.0,95.0,94.0,94.0,0.00 %,210.0,19880.0,0.0,0.0,94.8,98.1,96.35312597967523,97.28809289678911,36.7622998371551,-0.9349669171138828,-0.136638084376699,1.4733630655503511,98.1,3.2101811721295035,104.520362344259,91.67963765574099,100.0
MDB,2012-04-08,94.0,95.0,94.0,95.0,1.06 %,220.0,20880.0,0.010638297872340496,0.010582109330537008,94.6,97.9,96.14495275203288,97.11860453406399,40.49106252531048,-0.9736517820311121,-0.30404082390758164,1.4395514180110403,97.9,3.2751054623437232,104.45021092468745,91.34978907531256,320.0
MDB,2012-04-11,95.0,95.0,94.0,95.0,0.00 %,40.0,3780.0,0.0,0.0,94.6,97.8,95.96880617479705,96.96167086487407,40.4910625227393,-0.9928646900770133,-0.44180559714146794,1.4081548881531087,97.8,3.3340350138659636,104.46807002773193,91.13192997226807,320.0
MDB,2012-04-17,95.0,96.0,96.0,96.0,1.05 %,80.0,7680.0,0.010526315789473717,0.010471299867295437,94.8,97.75,95.97360522482828,96.89043598599451,44.300077124877724,-0.9168307611662385,-0.5368106299464221,1.3790009675707438,97.75,3.354101966249685,104.45820393249937,91.04179606750063,400.0
MDB,2012-04-19,96.0,97.0,97.0,97.0,1.04 %,60.0,5820.0,0.01041666666666674,0.010362787035546658,95.4,97.7,96.13151211331623,96.89855183888382,47.8919421729823,-0.7670397255675852,-0.5828564490706548,1.3519294698871192,97.7,3.3576307436235924,104.4152614872472,90.98473851275281,460.0
MDB,2012-04-30,97.0,106.0,98.0,106.0,9.28 %,100.0,10330.0,0.09278350515463907,0.08872811560868422,97.8,98.05,97.64974101895989,97.57273318415169,67.93386049994788,0.0770078348081995,-0.45088359229488395,1.898220222038039,98.05,3.8316548575476412,105.71330971509528,90.38669028490472,560.0
MDB,2012-05-02,106.0,114.0,108.0,112.0,5.66 %,570.0,62640.0,0.05660377358490565,0.05505977718302739,101.2,98.7,99.85747316988915,98.64141961495525,74.87253484541044,1.216053554933893,-0.11749616284912853,2.3340616347496077,98.7,4.942831066035785,108.58566213207158,88.81433786792843,1130.0
MDB,2012-05-03,112.0,114.0,114.0,114.0,1.79 %,30.0,3420.0,0.017857142857142794,0.017699577099400857,105.0,99.4,102.03324652836773,99.77909223606967,76.68368001690627,2.254154292298054,0.35683392818030796,2.31020008941035,99.4,6.012268159443046,111.4245363188861,87.37546368111391,1160.0
MDB,2012-05-07,114.0,122.0,116.0,122.0,7.02 %,40.0,4760.0,0.07017543859649122,0.06782259633876109,110.2,100.4,105.1050547547727,101.42508540376822,82.20795342739066,3.6799693510044733,1.0214610127451411,2.716614368738182,100.4,7.849907810387267,116.09981562077454,84.70018437922548,1200.0
MDB,2012-05-08,122.0,124.0,124.0,124.0,1.64 %,30.0,3720.0,0.016393442622950838,0.016260520871780326,115.6,101.4,108.01196940788459,103.0973012997854,83.27482125095065,4.9146681080991925,1.8001024318159515,2.6654276281140263,101.4,9.44457516249408,120.28915032498817,82.51084967501184,1230.0
MDB,2012-05-09,124.0,126.0,122.0,126.0,1.61 %,430.0,53980.0,0.016129032258064502,0.01600034134644112,119.6,102.5,110.77935872974851,104.79379749980129,84.28934822015243,5.985561229947223,2.637194191442206,2.7607542261058815,102.5,10.927993989364152,124.35598797872831,80.64401202127169,1660.0
MDB,2012-05-10,126.0,132.0,126.0,132.0,4.76 %,960.0,122060.0,0.04761904761904767,0.04652001563489291,123.6,104.0,114.04407277132566,106.80907175907527,86.8637194941038,7.235001012250393,3.5567555556038437,2.9921289242411757,104.0,12.76096020145655,129.5219204029131,78.4780795970869,2620.0
MDB,2012-05-13,132.0,136.0,128.0,134.0,1.52 %,870.0,115300.0,0.015151515151515138,0.015037877364540502,127.6,105.7,117.11421542189093,108.82321459173636,87.59349591682752,8.291000830154573,4.50360461051399,3.349834001081092,105.7,14.364063345358575,134.42812669071716,76.97187330928286,3490.0
MDB,2012-05-15,134.0,136.0,136.0,136.0,1.49 %,20.0,2720.0,0.014925373134328401,0.014815085785140682,130.4,107.6,120.01972074160001,110.8363098071633,88.2938477444231,9.183410934436708,5.439565875298534,3.253417286718157,107.6,15.73932386697325,139.0786477339465,76.12135226605349,3510.0
MDB,2012-05-17,136.0,140.0,138.0,138.0,1.47 %,600.0,83000.0,0.014705882352941124,0.014598799421152631,133.2,109.75,122.78591755058463,112.84843500663268,88.9647127947346,9.937482543951944,6.339149209029216,3.306744623381146,109.75,16.826905147474545,143.4038102949491,76.0961897050509,4110.0
MDB,2012-05-20,138.0,140.0,138.0,138.0,0.00 %,600.0,83320.0,0.0,0.0,135.6,111.95,125.12654561972545,114.71151389503027,88.96471279198926,10.415031724695183,7.15432571216241,3.213405721711064,111.95,17.52134037170252,146.99268074340506,76.90731925659496,4110.0
MDB,2012-05-21,138.0,146.0,136.0,146.0,5.80 %,560.0,76520.0,0.05797101449275366,0.05635293655113178,138.4,114.45,128.33784629361384,117.02917953243542,91.28236826357612,11.308666761178415,7.985193921965612,3.6981624558745594,114.45,18.6560981987124,151.76219639742482,77.1378036025752,4670.0
MDB,2012-05-22,146.0,150.0,148.0,150.0,2.74 %,20.0,2980.0,0.027397260273972712,0.02702867238791942,141.6,117.2,131.67048532536555,119.4714625300328,92.16807224276792,12.199022795332752,8.82795969663904,3.719722280454948,117.2,19.664555343106674,156.52911068621336,77.87088931378665,4690.0
MDB,2012-05-27,150.0,147.0,147.0,147.0,-2.00 %,50.0,7350.0,-0.020000000000000018,-0.020202707317519466,143.8,119.8,134.02887219838624,121.51061345373407,85.1782707236714,12.518258744652172,9.566019506241666,3.668313546136738,119.8,20.009471441505422,159.81894288301083,79.78105711698916,4640.0
MDB,2012-06-11,147.0,145.0,133.0,133.0,-9.52 %,660.0,88620.0,-0.09523809523809523,-0.10008345855698253,142.8,121.75,133.87058416786527,122.36167912382784,61.67277972585515,11.508905044037434,9.95459661380082,4.4062911499841135,121.75,19.248718344210268,160.24743668842052,83.25256331157946,3980.0
MDB,2012-06-12,133.0,131.0,120.0,120.0,-9.77 %,970.0,117740.0,-0.09774436090225569,-0.10285738543970782,139.2,123.05,131.73664814203985,122.18673992947022,48.334550116380505,9.549908212569633,9.873658933554584,5.02012749641382,123.05,18.120866134754273,159.29173226950854,86.80826773049145,3010.0
MDB,2012-06-13,120.0,120.0,118.0,120.0,0.00 %,1090.0,129670.0,0.0,0.0,134.0,124.3,129.9310099663414,122.02475919395391,48.33455011551453,7.906250772387494,9.480177301321167,4.804404103812833,124.3,16.90562036720333,158.11124073440666,90.48875926559333,3010.0
MDB,2012-06-14,120.0,118.0,115.0,116.0,-3.33 %,460.0,53400.0,-0.033333333333333326,-0.03390155167568134,127.2,125.35,127.78777766382734,121.57848073514252,44.87148162019694,6.209296928684822,8.826001226793897,4.818375239254773,125.35,15.591073694501238,156.53214738900246,94.16785261099751,2550.0
MDB,2012-06-17,116.0,118.0,115.0,115.0,-0.86 %,260.0,30100.0,-0.008620689655172376,-0.008658062743114541,120.8,126.3,125.82042725400775,121.0911858658727,44.02229954618697,4.729241388135051,8.00664925906213,4.688491293593718,126.3,14.227845196914693,154.75569039382938,97.84430960617061,2290.0
MDB,2012-06-18,115.0,120.0,114.0,120.0,4.35 %,420.0,48700.0,0.04347826086956519,0.0425596144187959,118.2,127.45,124.92497690723734,121.01035728321547,49.199046741075676,3.914619624021867,7.1882433320540775,4.782170486908453,127.45,12.567606647333665,152.58521329466734,102.31478670533266,2710.0
MDB,2012-06-19,120.0,121.0,120.0,121.0,0.83 %,210.0,25260.0,0.008333333333333304,0.008298802814695064,118.4,128.2,124.3211343061239,121.00959007705136,50.19116393202918,3.3115442290725383,6.41290351145777,4.512015452129278,128.2,11.632983958962281,151.46596791792456,104.93403208207542,2920.0
MDB,2012-06-20,121.0,120.0,120.0,120.0,-0.83 %,180.0,21600.0,-0.008264462809917328,-0.008298802814695066,118.4,128.6,123.65634441287406,120.9348056268994,49.157298988459644,2.7215387859746585,5.674630566361148,4.261157205548615,128.6,11.175160425081865,150.95032085016373,106.24967914983627,2740.0
