Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
MLBBL,2014-06-26,0.0,376.0,376.0,376.0,0.00 %,123.0,46248.0,,,,,376.0,376.0,,0.0,0.0,0.0,,,,,0.0
MLBBL,2014-07-03,376.0,386.0,383.0,386.0,2.66 %,49.0,18875.0,0.02659574468085113,0.02624822607493641,,,377.53846153846155,376.74074074074076,99.99999999,0.7977207977207854,0.1595441595441571,0.7142857142857142,,,,,49.0
MLBBL,2014-07-17,386.0,386.0,386.0,386.0,0.00 %,20.0,7720.0,0.0,0.0,,,378.84023668639054,377.42661179698223,99.99999998923077,1.413624889408311,0.4103603055169879,0.6632653061224489,,,,,49.0
MLBBL,2014-07-23,386.0,393.0,393.0,393.0,1.81 %,10.0,3930.0,0.0181347150259068,0.017972242404430436,,,381.01866181156123,378.58019610831684,99.99999998903803,2.4384657032443897,0.8159813850624683,1.1158892128279883,,,,,59.0
MLBBL,2014-08-06,393.0,400.0,400.0,400.0,1.78 %,10.0,4000.0,0.01781170483460559,0.017654935238720745,388.2,,383.93886768670563,380.1668482484415,99.99999998885278,3.772019438264124,1.4071889957027994,1.536182840483132,,,,,69.0
MLBBL,2014-08-18,400.0,416.0,408.0,416.0,4.00 %,20.0,8240.0,0.040000000000000036,0.03922071315328133,396.2,,388.8713495810586,382.82115578559404,99.99999998944361,6.0501937954645655,2.3357899556551525,2.5693126375914797,,,,,89.0
MLBBL,2014-08-21,416.0,441.0,425.0,441.0,6.01 %,30.0,12990.0,0.060096153846153744,0.058359615185582615,407.2,,396.89114195320343,387.130699801476,99.99999999055,9.760442151727432,3.8207203948696087,4.1715045920492315,,,,,119.0
MLBBL,2014-08-24,441.0,457.0,449.0,457.0,3.63 %,20.0,9060.0,0.03628117913832196,0.035638515447358673,421.4,,406.13865857578753,392.3062035198852,99.9999999908834,13.832455055902358,5.823067327076159,5.016397121188572,,,,,139.0
MLBBL,2014-08-28,457.0,466.0,466.0,466.0,1.97 %,38.0,17708.0,0.01969365426695835,0.0195022432314411,436.0,,415.34809571797405,397.76500325915293,99.99999999076499,17.583092458821113,8.17507235342515,5.300940183960817,,,,,177.0
MLBBL,2014-08-31,466.0,484.0,475.0,484.0,3.86 %,20.0,9590.0,0.03862660944205998,0.03789927259098573,452.8,,425.90992714597803,404.152780795512,99.99999999118214,21.75714635046603,10.891487152833328,6.208015885106473,,,,,197.0
MLBBL,2014-09-07,484.0,508.0,508.0,508.0,4.96 %,10.0,5080.0,0.04958677685950419,0.04839654086185024,471.2,,438.53916912351986,411.8451674032518,99.9999999918333,26.694001720268034,14.051990066320268,7.478871893313154,,,,,207.0
MLBBL,2014-09-09,508.0,518.0,518.0,518.0,1.97 %,10.0,5180.0,0.019685039370078705,0.019493794681001132,486.6,,450.763912335286,419.7084883363443,99.99999999172495,31.055423998941706,17.452676852844558,7.658952472362214,,,,,217.0
MLBBL,2014-09-10,518.0,569.0,543.0,569.0,9.85 %,50.0,27930.0,0.09845559845559837,0.09390519186684779,509.0,,468.95407966831897,430.76711882994846,99.99999999327243,38.18696083837051,21.59953364994975,10.7547415814792,,,,,267.0
MLBBL,2014-09-11,569.0,597.0,597.0,597.0,4.92 %,10.0,5970.0,0.04920913884007039,0.048036679266271254,535.2,,488.6534520270391,443.0806655832856,99.99999999367188,45.5727864437535,26.3941842087105,11.986545754230686,,,,,277.0
MLBBL,2014-09-14,597.0,638.0,626.0,638.0,6.87 %,20.0,12640.0,0.06867671691792299,0.06642116995218783,566.0,,511.6298440228793,457.51913479933853,99.99999999431893,54.110709223540766,31.937489211676557,14.058935343214209,,,,,297.0
MLBBL,2014-09-15,638.0,663.0,650.0,663.0,3.92 %,20.0,13130.0,0.03918495297805635,0.03843670684107256,597.0,,534.9175603270517,472.73993962901716,99.9999999944845,62.1776206980345,37.98551550894815,14.84043996155605,,,,,317.0
MLBBL,2014-09-16,663.0,729.0,696.0,729.0,9.95 %,40.0,28570.0,0.09954751131221728,0.09489874182279573,639.2,,564.7763971998129,491.72216632316406,99.99999999535962,73.05423087664883,44.99925858248829,18.494694250016334,,,,,357.0
MLBBL,2014-09-17,729.0,801.0,743.0,801.0,9.88 %,412.0,321619.0,0.09876543209876543,0.09418721505970107,685.6,,601.1184899383032,514.6316354844112,99.99999999602441,86.48685445389208,53.296777756769046,22.316501803586597,,,,,769.0
MLBBL,2014-09-21,881.0,969.0,898.0,969.0,9.99 %,681.0,657775.0,0.20973782771535587,0.19040366482240706,760.0,,657.7156453324105,548.2885513744548,99.9999999971717,109.42709395795578,64.5228409970064,32.72246596047327,,,,,1450.0
MLBBL,2014-09-22,969.0,1007.0,873.0,873.0,-9.91 %,2189.0,2018420.0,-0.09907120743034059,-0.10432905605116406,807.0,553.5,690.8363152812703,572.3412512726433,82.7225883133836,118.49506400862708,75.31728559933055,39.95657553472518,553.5,174.9696214234135,903.439242846827,203.56075715317297,-739.0
MLBBL,2014-09-23,873.0,856.0,801.0,805.0,-7.79 %,959.0,774875.0,-0.07789232531500567,-0.08109327842103878,835.4,574.95,708.3999590841518,589.5752326598549,73.08968629992356,118.82472642429684,84.01877376432381,42.2453915679591,574.95,178.32804632267795,931.606092645356,218.29390735464415,-1698.0
MLBBL,2014-09-24,805.0,821.0,801.0,805.0,0.00 %,262.0,213082.0,0.0,0.0,850.6,595.9,723.261503840436,605.5326228331991,73.08968629978877,117.72888100723696,90.76079521290644,40.6564350273906,595.9,179.56963170753278,955.0392634150655,236.76073658493442,-1698.0
