Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
NADEP,2018-08-23,597.0,597.0,597.0,597.0,0.00 %,10.0,5970.0,,,,,597.0,597.0,,0.0,0.0,0.0,,,,,0.0
NADEP,2018-08-30,626.0,650.0,626.0,650.0,8.88 %,30.0,19140.0,0.08877721943048567,0.08505524949708063,,,605.1538461538462,600.925925925926,99.99999999811321,4.227920227920208,0.8455840455840417,3.7857142857142856,,,,,30.0
NADEP,2018-09-03,663.0,663.0,663.0,663.0,2.00 %,10.0,6630.0,0.020000000000000018,0.01980262729617973,,,614.0532544378699,605.5240054869685,99.99999999800569,8.529248950901433,2.38231702664752,4.4438775510204085,,,,,40.0
NADEP,2018-09-04,676.0,689.0,676.0,689.0,3.92 %,20.0,13650.0,0.03921568627450989,0.03846628082779614,,,625.5835229858899,611.7074124879338,99.99999999793467,13.87611049795612,4.68107572090924,5.983600583090379,,,,,60.0
NADEP,2018-09-09,702.0,702.0,702.0,702.0,1.89 %,10.0,7020.0,0.018867924528301883,0.018692133012152546,660.2,,637.3399040649838,618.3957523036423,99.99999999782081,18.94415176134146,7.533690928995684,6.484771970012495,,,,,70.0
NADEP,2018-09-13,716.0,716.0,716.0,716.0,1.99 %,10.0,7160.0,0.019943019943019946,0.0197467629348345,684.0,,649.4414572857555,625.6256965774467,99.999999997707,23.815760708308858,10.79010488485832,7.021573972154459,,,,,80.0
NADEP,2018-09-16,730.0,730.0,730.0,730.0,1.96 %,10.0,7300.0,0.019553072625698276,0.019364367181791152,700.0,,661.8350792417932,633.3571264605987,99.99999999759011,28.477952781194517,14.327674464125561,7.520032974143427,,,,,90.0
NADEP,2018-09-18,766.0,766.0,766.0,766.0,4.93 %,10.0,7660.0,0.049315068493150704,0.0481376355981545,720.6,,677.8604516661327,643.1825245005543,99.9999999975671,34.67792716557835,18.39772500441612,9.554316333133183,,,,,100.0
NADEP,2018-09-25,781.0,796.0,781.0,796.0,3.92 %,20.0,15770.0,0.039164490861618884,0.03841701610379179,742.0,,696.0357667944199,654.5023375005132,99.99999999751923,41.53342929390669,23.024865862314236,11.014722309337955,,,,,120.0
NADEP,2018-09-27,811.0,827.0,811.0,827.0,3.89 %,20.0,16380.0,0.03894472361809043,0.038205509179308275,767.0,,716.1841103645093,667.2799421301048,99.99999999747762,48.90416823440444,28.20072633673228,12.442242144385244,,,,,140.0
NADEP,2018-09-30,843.0,843.0,843.0,843.0,1.93 %,10.0,8430.0,0.0193470374848852,0.019162262978164212,792.4,,735.6942472315079,680.29624271306,99.99999999736538,55.39800451844792,33.640181973075414,12.696367705500583,,,,,150.0
NADEP,2018-10-01,859.0,927.0,859.0,927.0,9.96 %,60.0,53920.0,0.0996441281138789,0.09498660756399961,831.8,,765.1259015035837,698.5705951046851,99.99999999757546,66.55530639889855,40.22320685824005,17.789484297964826,,,,,210.0
NADEP,2018-10-02,945.0,1019.0,945.0,1019.0,9.92 %,110.0,108760.0,0.09924487594390508,0.09462346765686966,882.4,,804.183455118417,722.3061065784123,99.99999999777135,81.87734854000473,48.554035194592984,23.090235419538764,,,,,320.0
NADEP,2018-10-03,1039.0,1120.0,1039.0,1120.0,9.91 %,270.0,300390.0,0.09911678115799805,0.09450693106641542,947.2,,852.7706158694298,751.7649134985298,99.99999999795416,101.00570237089994,59.044368629854375,28.65521860385742,,,,,590.0
NADEP,2018-10-04,1142.0,1232.0,1142.0,1232.0,10.00 %,120.0,145140.0,0.10000000000000009,0.09531017980432493,1028.2,,911.1135980433637,787.337882869009,99.99999999812692,123.77571517435467,71.99063793875445,34.60841727501047,,,,,710.0
NADEP,2018-10-07,1256.0,1355.0,1256.0,1355.0,9.98 %,380.0,512450.0,0.09983766233766245,0.09516258922033628,1130.6,,979.403813729,829.3869285824157,99.99999999828651,150.0168851465843,87.59588738032042,40.92210175536686,,,,,1090.0
NADEP,2018-10-08,1382.0,1490.0,1382.0,1490.0,9.96 %,2640.0,3928680.0,0.09963099630996308,0.09497466562570353,1243.2,,1057.9570731553076,878.3212301689034,99.99999999843345,179.6358429864042,106.00387850153717,47.64195162998351,,,,,3730.0
NADEP,2018-10-09,1519.0,1639.0,1519.0,1542.0,3.49 %,24470.0,38531000.0,0.03489932885906044,0.03430415518377001,1347.8,,1132.4252157467988,927.4826205267624,99.99999999841243,204.94259522003642,125.79162184523703,54.881812227841834,,,,,28200.0
NADEP,2018-10-10,1540.0,1540.0,1490.0,1493.0,-3.18 %,5250.0,7861440.0,-0.031776913099870296,-0.03229275658408441,1422.4,,1187.8982594780605,969.3727967840392,94.35394042255118,218.52546269402126,144.33839001499388,54.67596849728171,,,,,22950.0
NADEP,2018-10-11,1464.0,1486.0,1440.0,1483.0,-0.67 %,3040.0,4489530.0,-0.0066979236436705,-0.006720455401258329,1472.6,982.0,1233.2985272506664,1007.4192562815178,93.19746039234376,225.8792709691486,160.64656620582483,54.556256461761585,982.0,331.83461321314235,1645.6692264262847,318.3307735737153,19910.0
NADEP,2018-10-14,1490.0,1550.0,1490.0,1550.0,4.52 %,3020.0,4569170.0,0.045178691840863205,0.044187867775360296,1511.6,1029.65,1282.021830750564,1047.6104224828869,93.75018025719483,234.4114082676772,175.3995346181953,55.445095285921475,1029.65,341.9109263813419,1713.4718527626837,345.82814723731633,22930.0
NADEP,2018-10-15,1552.0,1590.0,1520.0,1555.0,0.32 %,3630.0,5691200.0,0.003225806451612856,0.003220614700042157,1524.6,1074.9,1324.0184721735543,1085.1948356323026,93.79072687575652,238.82363654125174,188.0843550028066,56.484731336927084,1074.9,348.8376035983084,1772.575207196617,377.22479280338325,26560.0
NADEP,2018-10-21,1525.0,1540.0,1525.0,1532.0,-1.48 %,1160.0,1779280.0,-0.014790996784565968,-0.014901474312797952,1522.6,1118.35,1356.0156303006997,1118.2915144743542,90.87026552398356,237.7241158263455,198.0123071675144,54.59296481286087,1118.35,348.9523078558083,1816.2546157116165,420.44538428838337,25400.0
NADEP,2018-10-22,1530.0,1550.0,1529.0,1533.0,0.20 %,1480.0,2271480.0,0.0006527415143602333,0.0006525285712774368,1530.6,1160.55,1383.2439948698227,1149.0106615503282,90.88355701875334,234.23333331949448,205.25651239791043,52.19346732622795,1160.55,345.3116784343645,1851.1733568687291,469.9266431312709,26880.0
NADEP,2018-10-23,1530.0,1533.0,1491.0,1496.0,-2.54 %,3890.0,5852180.0,-0.0241356816699283,-0.02443172033739163,1533.2,1200.25,1400.5910725821577,1174.713575509563,85.90047912748581,225.87749707259468,209.3807093328473,51.46536251721167,1200.25,335.3160135564189,1870.882027112838,529.6179728871622,22990.0
NADEP,2018-10-24,1496.0,1510.0,1480.0,1487.0,-0.60 %,2630.0,3923080.0,-0.006016042780748632,-0.006034212074267448,1520.6,1238.8,1413.8847537233642,1197.8459032495953,84.6841807738458,216.0388504737689,210.71233756103163,49.932122337410846,1238.8,320.7150891695817,1880.2301783391633,597.3698216608366,20360.0
