Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
NBL,2012-12-17,673.0,395.0,256.0,256.0,-61.96 %,22060.0,5655240.0,,,,,256.0,256.0,,0.0,0.0,139.0,,,,,0.0
NBL,2012-12-18,414.0,414.0,414.0,414.0,0.00 %,10.0,4140.0,0.6171875,0.4806885293457519,,,280.3076923076923,267.7037037037037,99.99999999936709,12.603988603988626,2.5207977207977255,140.35714285714286,,,,,10.0
NBL,2012-12-19,414.0,450.0,434.0,450.0,8.70 %,40.0,17600.0,0.08695652173913038,0.083381608939051,,,306.414201183432,281.2071330589849,99.99999999933014,25.20706812444712,7.058051801527604,132.90306122448982,,,,,50.0
NBL,2012-12-20,450.0,490.0,472.0,490.0,8.89 %,31.0,14911.0,0.0888888888888888,0.08515780834030677,,,334.6581702321348,296.67327135091193,99.99999999929318,37.984898881222875,13.24342121746666,126.26712827988341,,,,,81.0
NBL,2012-12-23,490.0,534.0,514.0,534.0,8.98 %,40.0,20960.0,0.0897959183673469,0.08599044785552251,428.8,,365.3261440425756,314.25302902862217,99.9999999992566,51.07311501395344,20.809359976764014,120.39090483132031,,,,,121.0
NBL,2012-12-24,534.0,609.0,544.0,609.0,0.00 %,1292.0,771064.0,0.1404494382022472,0.1314224287497022,499.4,,402.814429574487,336.08613798946493,99.99999999923234,66.72829158502208,29.99314629841563,117.14869734336887,,,,,1413.0
NBL,2012-12-26,609.0,645.0,598.0,645.0,5.91 %,91.0,57505.0,0.059113300492610765,0.057432049085875396,545.6,,440.073748101489,358.96864628654157,99.99999999919049,81.10510181494743,40.215537401721996,112.13807610455682,,,,,1504.0
NBL,2012-12-27,645.0,709.0,677.0,709.0,9.92 %,1260.0,869590.0,0.09922480620155039,0.09460520973635501,597.4,,481.44701762433687,384.8968947097607,99.99999999916163,96.55012291457615,51.48245450429283,108.69964209708847,,,,,2764.0
NBL,2012-12-31,709.0,779.0,744.0,779.0,9.87 %,6361.0,4806717.0,0.09873060648801135,0.09415551933862083,655.2,,527.2243995282851,414.0897173238525,99.99999999913615,113.13468220443258,63.812900044320784,105.93538194729643,,,,,9125.0
NBL,2013-01-01,779.0,856.0,817.0,856.0,9.88 %,40.0,33550.0,0.09884467265725294,0.09425933027099388,719.6,,577.8052611393182,446.82381233690046,99.99999999911498,130.98144880241773,77.24660979594017,103.86856895106098,,,,,9165.0
NBL,2013-01-02,856.0,941.0,898.0,941.0,9.93 %,8498.0,7956204.0,0.09929906542056077,0.09467276344363755,786.0,,633.6813748101923,483.4294558675004,99.99999999909903,150.25191894269193,91.84767162529053,102.5208140259852,,,,,17663.0
NBL,2013-01-03,941.0,1035.0,959.0,1035.0,9.99 %,1573.0,1598092.0,0.09989373007438895,0.09521356611408982,864.0,,695.4227017624705,524.2865332106485,99.99999999908907,171.13616855182204,107.70537101059685,101.91218445270054,,,,,19236.0
NBL,2013-01-06,1035.0,1138.0,1086.0,1138.0,9.95 %,4983.0,5655938.0,0.09951690821256043,0.09487090898680682,949.8,,763.5115168759366,569.7467900098596,99.99999999908503,193.764726866077,124.9172421816929,101.98988556322195,,,,,24219.0
NBL,2013-01-07,1138.0,1251.0,1194.0,1251.0,9.93 %,11538.0,14413998.0,0.09929701230228472,0.09467089578063491,1044.2,,838.5097450488695,620.20999074987,99.99999999908725,218.29975429899946,143.5937446051542,102.7763223087061,,,,,35757.0
NBL,2013-01-08,1251.0,1321.0,1251.0,1295.0,3.52 %,8462.0,10966741.0,0.035171862509991936,0.034567463666726916,1132.0,,908.7390150413512,670.1944358795092,99.9999999990465,238.54457916184197,162.58391151649175,100.43515642951282,,,,,44219.0
NBL,2013-01-09,1295.0,1270.0,1166.0,1166.0,-9.96 %,5575.0,6740564.0,-0.09961389961389966,-0.10493160722320048,1177.0,,948.3176281119125,706.9207739625085,91.35614182616742,241.39685414940402,178.3465000430742,102.47550239883333,,,,,38644.0
NBL,2013-01-10,1166.0,1143.0,1050.0,1050.0,-9.95 %,2609.0,2742956.0,-0.09948542024013718,-0.10478892375886859,1180.0,,963.961069940849,732.3340499652857,84.29968713150552,231.62701997556337,189.00260402957204,103.44153794177382,,,,,36035.0
NBL,2013-01-13,1050.0,1029.0,990.0,1000.0,-4.76 %,8816.0,8818154.0,-0.04761904761904767,-0.048790164169432056,1152.4,,969.5055207191799,752.1611573752646,81.38177205372949,217.34436334391535,194.6709558924407,100.33857094593284,,,,,27219.0
NBL,2013-01-15,1000.0,999.0,948.0,950.0,-5.00 %,4209.0,4021313.0,-0.050000000000000044,-0.05129329438755058,1092.2,,966.5046713777676,766.8158864585782,78.45718800334103,199.6887849191894,195.67452169779045,96.88581587836622,,,,,23010.0
NBL,2013-01-16,950.0,940.0,919.0,931.0,-2.00 %,1956.0,1816815.0,-0.020000000000000018,-0.020202707317519466,1019.4,824.95,961.0424142427264,778.9776726468317,77.32009077690068,182.0647415958947,192.95256567741131,92.17968617276863,824.95,299.83284378220856,1424.6156875644172,225.28431243558293,21054.0
NBL,2013-01-17,931.0,932.0,915.0,926.0,-0.54 %,3713.0,3421899.0,-0.00537056928034374,-0.005385042630887711,971.4,858.45,955.6512735899993,789.8682154137331,77.00380610851295,165.7830581762662,187.5186641771823,86.80970858899944,858.45,268.7355332703609,1395.9210665407218,320.9789334592782,17341.0
NBL,2013-01-20,926.0,935.0,884.0,903.0,-2.48 %,1931.0,1750567.0,-0.024838012958963263,-0.025151681229193944,942.0,882.9,947.5510776530763,798.2483476053085,75.47438222776951,149.3027300477678,179.8754773512994,84.25187226121376,882.9,247.5830323239798,1378.0660646479596,387.73393535204036,15410.0
NBL,2013-01-21,903.0,935.0,895.0,917.0,1.55 %,1308.0,1185236.0,0.015503875968992276,0.015384918839479456,925.4,906.25,942.8509118602954,807.0447663012117,75.78959414466058,135.8061455590837,171.06161099285626,81.09102424255565,906.25,225.65760626036493,1357.5652125207298,454.93478747927014,16718.0
NBL,2013-01-22,917.0,969.0,904.0,950.0,3.60 %,607.0,562899.0,0.03598691384950925,0.03535451233812165,925.4,929.25,943.950771574096,817.6340428714923,76.55450814199108,126.31672870260377,162.11263453480575,79.94166536808738,929.25,203.33738491793181,1335.9247698358636,522.5752301641364,17325.0
NBL,2013-01-23,950.0,975.0,935.0,970.0,2.11 %,1882.0,1803209.0,0.021052631578947434,0.020834086902842053,933.2,951.05,947.9583451780813,828.9204100661966,77.02821109732903,119.03793511188474,153.49769465022155,77.08868927036687,951.05,180.8618184372287,1312.7736368744572,589.3263631255426,19207.0
NBL,2013-01-24,970.0,989.0,925.0,950.0,-2.06 %,1717.0,1617282.0,-0.020618556701030966,-0.020834086902842025,938.0,968.1,948.272445919915,837.8892685798116,75.38787467022868,110.38317734010332,144.87479118819792,76.1537828939121,968.1,162.01003867532089,1292.1200773506418,644.0799226493582,17490.0
NBL,2013-01-27,950.0,965.0,920.0,930.0,-2.11 %,1613.0,1506340.0,-0.021052631578947323,-0.02127739844728485,943.4,982.35,945.4613003937742,844.7122857220478,73.69773748798028,100.7490146717264,136.0496358849036,73.92851268720409,982.35,143.5809967634261,1269.5119935268522,695.1880064731479,15877.0
NBL,2013-01-28,930.0,932.0,915.0,924.0,-0.65 %,2067.0,1902573.0,-0.006451612903225823,-0.006472514505617479,944.8,993.1,942.1595618716551,850.5854497426369,73.1677736520213,91.5741121290182,127.15453113372654,69.8621903524038,993.1,129.38473838253037,1251.8694767650609,734.3305232349393,13810.0
NBL,2013-01-30,924.0,936.0,921.0,930.0,0.65 %,855.0,791581.0,0.006493506493506551,0.00647251450561752,940.8,1000.65,940.2888600452467,856.4680090209602,73.3739710415358,83.82085102428653,118.48779511183854,65.94346247008924,1000.65,120.32205686581781,1241.2941137316357,760.0058862683643,14665.0
NBL,2013-01-31,930.0,940.0,925.0,930.0,0.00 %,1442.0,1337814.0,0.0,0.0,932.8,1004.35,938.7059584998241,861.9148231675557,73.37397104143459,76.79113533226837,110.14846315592452,62.30464372222573,1004.35,116.72381933435885,1237.7976386687178,770.9023613312823,14665.0
NBL,2013-02-03,930.0,940.0,919.0,919.0,-1.18 %,2609.0,2425144.0,-0.011827956989247324,-0.011898463791614584,926.6,1003.25,935.6742725767742,866.1433547847739,72.19435546366269,69.53091779200031,102.02495408313968,59.354312027781035,1003.25,117.45363026811022,1238.1572605362205,768.3427394637796,12056.0
NBL,2013-02-04,919.0,930.0,902.0,920.0,0.11 %,1557.0,1424722.0,0.0010881392818280489,0.001087547687398919,924.6,997.5,933.2628460265013,870.1327359118277,72.23805133650687,63.130110114673585,94.24598528944647,57.11471831151096,997.5,118.62657020201999,1234.75314040404,760.24685959596,13613.0
NBL,2013-02-05,920.0,930.0,910.0,921.0,0.11 %,1868.0,1712030.0,0.0010869565217390686,0.0010863662122207896,924.0,986.65,931.3762543301165,873.9006813998404,72.2849551033498,57.47557293027603,86.89190281761239,54.4636670035459,986.65,114.96694032817037,1216.5838806563406,756.7161193436592,15481.0
NBL,2013-02-06,921.0,917.0,905.0,907.0,-1.52 %,1037.0,945712.0,-0.015200868621064068,-0.01531758614017025,919.4,969.45,927.6260613562524,876.35248277763,70.48941785232881,51.27357857862239,79.76823796981441,51.71626221757834,969.45,97.78519692081277,1165.0203938416255,773.8796061583745,14444.0
NBL,2013-02-07,907.0,920.0,892.0,920.0,1.43 %,1392.0,1245854.0,0.014332965821389099,0.014231219927949295,917.4,950.7,926.4528211475982,879.5856322015093,71.20468509540356,46.86718894608896,73.18802816506933,50.02224348775132,950.7,61.17627679178652,1073.0525535835732,828.347446416427,15836.0
NBL,2013-02-10,920.0,905.0,900.0,900.0,-2.17 %,618.0,557517.0,-0.021739130434782594,-0.02197890671877523,913.6,937.4,922.38315635566,881.0978075939901,68.45570537453332,41.28534876166998,66.80749228438945,47.877797524340515,937.4,35.38271954083333,1008.1654390816666,866.6345609183334,15218.0
NBL,2013-02-12,900.0,912.0,880.0,880.0,-2.22 %,4393.0,3917397.0,-0.022222222222222254,-0.02247285585205863,905.6,928.9,915.8626707624816,881.0164885129539,65.7231678320992,34.846182249527715,60.41523027741711,46.74366912974477,928.9,26.114928176891645,981.1298563537832,876.6701436462167,10825.0
