Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
OHL,2012-01-01,80.0,81.0,79.0,79.0,-1.25 %,530.0,42170.0,,,,,79.0,79.0,,0.0,0.0,2.0,,,,,0.0
OHL,2012-01-02,79.0,79.0,77.0,77.0,-2.53 %,1220.0,94430.0,-0.025316455696202556,-0.02564243061333767,,,78.69230769230768,78.85185185185186,0.0,-0.15954415954418266,-0.03190883190883653,2.0,,,,,-1220.0
OHL,2012-01-03,77.0,78.0,75.0,78.0,1.30 %,100.0,7650.0,0.01298701298701288,0.012903404835907782,,,78.58579881656803,78.78875171467764,3.703703701783269,-0.20295289810961492,-0.06611764514899221,2.0714285714285716,,,,,-1120.0
OHL,2012-01-04,78.0,81.0,79.0,81.0,3.85 %,80.0,6400.0,0.03846153846153855,0.03774032798284711,,,78.95721438324988,78.95254788396078,13.99491093449619,0.0046664992891010115,-0.05196081626137357,2.1377551020408165,,,,,-1040.0
OHL,2012-01-16,81.0,84.0,82.0,84.0,3.70 %,390.0,32290.0,0.03703703703703698,0.03636764417087479,79.8,,79.73302755505759,79.32643322588962,22.8716868417132,0.406594329167973,0.03975021282449574,2.1993440233236154,,,,,-650.0
OHL,2012-01-17,84.0,85.0,83.0,85.0,1.19 %,530.0,44870.0,0.011904761904761862,0.011834457647002798,81.0,,80.54333100812565,79.74669743137927,25.627237797220275,0.7966335767463733,0.19112688560887126,2.185105164514786,,,,,-120.0
OHL,2012-01-25,85.0,84.0,83.0,83.0,-2.35 %,80.0,6680.0,-0.02352941176470591,-0.02381064869371856,82.2,,80.92128008379864,79.98768280683267,23.796123291706266,0.9335972769659691,0.33962096388029084,2.171883367049444,,,,,-200.0
OHL,2012-01-26,83.0,85.0,84.0,85.0,2.41 %,170.0,14410.0,0.024096385542168752,0.023810648693718607,83.6,,81.54877545552192,80.35896556188209,29.24090714481818,1.1898098936398327,0.5096587498321992,2.1596059836887695,,,,,-30.0
OHL,2012-02-01,85.0,85.0,85.0,85.0,0.00 %,130.0,11050.0,0.0,0.0,84.4,,82.07973307774932,80.70274589063156,29.24090714369318,1.3769871871177628,0.6831244372893119,2.005348413425286,,,,,-30.0
OHL,2012-02-07,85.0,84.0,84.0,84.0,-1.18 %,460.0,38640.0,-0.0117647058823529,-0.011834457647002796,84.4,,82.37515875809558,80.94698693576996,28.07757804135865,1.4281718223256235,0.8321339142965742,1.9335378124663372,,,,,-490.0
OHL,2012-02-09,84.0,83.0,83.0,83.0,-1.19 %,10.0,830.0,-0.011904761904761862,-0.01197619104671565,84.0,,82.47128817992703,81.09906197756477,26.924027926446556,1.3722262023622562,0.9401523719097107,1.8668565401473132,,,,,-500.0
OHL,2012-02-23,83.0,84.0,83.0,83.0,0.00 %,490.0,40820.0,0.0,0.0,84.0,,82.55262845993826,81.23987220144888,26.924027925255317,1.3127562584893866,1.014673149225646,1.8049382158510765,,,,,-500.0
OHL,2012-02-26,83.0,82.0,80.0,80.0,-3.61 %,2440.0,196420.0,-0.03614457831325302,-0.036813973122716316,83.0,,82.15991638917853,81.14802981615637,23.556723851384504,1.0118865730221671,1.0141158339849503,1.8902997718617138,,,,,-2940.0
OHL,2012-02-27,80.0,80.0,79.0,79.0,-1.25 %,1390.0,111190.0,-0.012499999999999956,-0.012578782206860073,81.8,,81.67377540622799,80.98891649644108,22.544567420148354,0.6848589097869109,0.9482644491453425,1.8267069310144486,,,,,-4330.0
OHL,2012-02-28,79.0,78.0,78.0,78.0,-1.27 %,10.0,780.0,-0.012658227848101222,-0.012739025777429714,80.6,,81.10857918988522,80.76751527448248,21.547522392042396,0.34106391540274217,0.8268243423968225,1.767656435941988,,,,,-4340.0
OHL,2012-02-29,78.0,78.0,77.0,78.0,0.00 %,400.0,31130.0,0.0,0.0,79.6,,80.63033623759519,80.56251414303932,21.54752239101613,0.06782209455586496,0.675023892828631,1.7128238333747032,,,,,-4340.0
