Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
PCBL,2012-01-01,185.0,191.0,183.0,191.0,3.24 %,2109.0,392985.0,,,,,191.0,191.0,,0.0,0.0,8.0,,,,,0.0
PCBL,2012-01-02,191.0,197.0,188.0,193.0,1.05 %,4247.0,820424.0,0.010471204188481575,0.01041676085825558,,,191.30769230769232,191.14814814814815,99.99999995,0.15954415954416845,0.031908831908833694,8.071428571428571,,,,,4247.0
PCBL,2012-01-03,193.0,203.0,193.0,196.0,1.55 %,6446.0,1268592.0,0.015544041450777257,0.01542447032563173,,,192.02958579881658,191.50754458161865,99.99999995172413,0.5220412171979376,0.12993530896665448,8.209183673469388,,,,,10693.0
PCBL,2012-01-04,196.0,195.0,187.0,187.0,-4.59 %,1119.0,212336.0,-0.04591836734693877,-0.0470060423759306,,,191.2558033682294,191.17365239038764,74.95029818153031,0.0821509778417635,0.12037844274167629,8.26567055393586,,,,,9574.0
PCBL,2012-01-05,187.0,188.0,184.0,187.0,0.00 %,2289.0,425510.0,0.0,0.0,190.8,,190.6010643885018,190.86449295406263,74.95029817928375,-0.2634285655608153,0.04361704108117798,7.960979800083299,,,,,9574.0
PCBL,2012-01-08,187.0,190.0,187.0,189.0,1.07 %,2656.0,501509.0,0.010695187165775444,0.010638398205055797,190.4,,190.35474679027078,190.7263823648728,76.46941816743855,-0.3716355746020099,-0.0394334820554596,7.60662410007735,,,,,12230.0
PCBL,2012-01-09,189.0,191.0,188.0,191.0,1.06 %,3658.0,688706.0,0.010582010582010692,0.010526412986987603,190.0,,190.4540165148445,190.74665033784518,77.91196924366243,-0.29263382300067065,-0.09007355024450181,7.277579521500397,,,,,15888.0
PCBL,2012-01-10,191.0,194.0,188.0,189.0,-1.05 %,1240.0,234722.0,-0.010471204188481686,-0.010526412986987504,188.6,,190.2303216664069,190.61726883133812,73.08669980034632,-0.3869471649312288,-0.14944827318184722,7.186323841393226,,,,,14648.0
PCBL,2012-01-11,189.0,190.0,188.0,188.0,-0.53 %,4325.0,817184.0,-0.005291005291005346,-0.005305052229693229,188.8,,189.88719525619047,190.4233970660538,70.72804844144736,-0.5362018098633428,-0.22679898051814634,6.815872138436568,,,,,10323.0
PCBL,2012-01-12,188.0,190.0,185.0,189.0,0.53 %,2003.0,376225.0,0.005319148936170137,0.005305052229693098,189.2,,189.750703678315,190.31796024634613,71.71120904433747,-0.5672565680311266,-0.2948904980207424,6.686166985691099,,,,,12326.0
