Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
SAPDBL,2019-10-01,141.0,141.0,130.0,130.0,-9.09 %,273.0,36100.0,,,,,130.0,130.0,,0.0,0.0,11.0,,,,,0.0
SAPDBL,2019-10-02,128.0,132.0,125.0,125.0,-3.85 %,3134.0,402377.0,-0.038461538461538436,-0.03922071315328127,,,129.23076923076923,129.62962962962962,0.0,-0.3988603988603927,-0.07977207977207855,10.714285714285715,,,,,-3134.0
SAPDBL,2019-10-03,127.0,131.0,127.0,130.0,4.00 %,1384.0,179177.0,0.040000000000000036,0.03922071315328133,,,129.3491124260355,129.65706447187927,7.142857141428564,-0.3079520458437628,-0.1254080729864154,10.377551020408164,,,,,-1750.0
SAPDBL,2019-10-10,128.0,130.0,128.0,130.0,0.00 %,542.0,70176.0,0.0,0.0,,,129.44924897587617,129.6824671035919,7.142857141318686,-0.23321812771573036,-0.1469700839322784,9.779154518950438,,,,,-1750.0
SAPDBL,2019-10-14,130.0,130.0,125.0,127.0,-2.31 %,9515.0,1209901.0,-0.023076923076923106,-0.023347363996991177,128.4,,129.072441441126,129.4837658366592,6.804638426584646,-0.41132439553319955,-0.19984094625246263,9.437786339025408,,,,,-11265.0
SAPDBL,2019-10-15,125.0,126.0,123.0,125.0,-1.57 %,2053.0,256410.0,-0.015748031496062964,-0.01587334915629012,127.4,,128.44591198864507,129.1516350339437,6.580918032058008,-0.7057230452986403,-0.30101736606169816,9.049373029095023,,,,,-13318.0
SAPDBL,2019-10-16,124.0,126.0,123.0,124.0,-0.80 %,858.0,106479.0,-0.008000000000000007,-0.008032171697264267,127.2,,127.76192552885352,128.77003243883675,6.466440438163971,-1.0081069099832263,-0.44243527484600376,8.617274955588234,,,,,-14176.0
SAPDBL,2019-10-17,123.0,123.0,122.0,123.0,-0.81 %,1623.0,198831.0,-0.008064516129032251,-0.008097210232619362,125.8,,127.0293216013376,128.34262262855253,6.347529065399968,-1.3133010272149335,-0.6166084253197897,8.144612458760504,,,,,-15799.0
SAPDBL,2019-10-20,121.0,122.0,121.0,121.0,-1.63 %,1713.0,207730.0,-0.016260162601625994,-0.016393809775676383,124.0,,126.10173366267027,127.79872465606717,6.105700131659063,-1.696990993396895,-0.8326849389352108,7.70571156884904,,,,,-17512.0
SAPDBL,2019-10-21,121.0,121.0,119.0,119.0,-1.65 %,4943.0,593724.0,-0.016528925619834656,-0.016667052485211647,122.4,,125.00915925302868,127.14696727413626,5.8650639125809505,-2.137808021107574,-1.0937095553696836,7.298160742502681,,,,,-22455.0
SAPDBL,2019-10-22,119.0,121.0,119.0,121.0,1.68 %,5043.0,605162.0,0.01680672268907557,0.016667052485211643,121.6,,124.3923655217935,126.69163636494098,9.697796803950837,-2.2992708431474824,-1.3348218129252434,6.919720689466776,,,,,-17412.0
SAPDBL,2019-10-23,119.0,123.0,119.0,123.0,1.65 %,2186.0,261874.0,0.016528925619834656,0.016393809775676352,121.4,,124.17815544151756,126.4181818193898,13.490979826428529,-2.2400263778722405,-1.5158627259146429,6.711169211647721,,,,,-15226.0
SAPDBL,2019-10-24,123.0,123.0,121.0,122.0,-0.81 %,308.0,37486.0,-0.008130081300813052,-0.008163310639160981,121.2,,123.84305460436101,126.0909090920276,13.192585838624822,-2.2478544876665865,-1.6622610782650316,6.374657125101455,,,,,-15534.0
SAPDBL,2019-10-31,120.0,122.0,116.0,121.0,-0.82 %,1195.0,143510.0,-0.008196721311475419,-0.00823049913651548,121.2,,123.40566158830548,125.71380471484036,12.885656910462771,-2.308143126534887,-1.7914374879190027,6.347895901879923,,,,,-16729.0
SAPDBL,2019-11-03,121.0,121.0,119.0,121.0,0.00 %,1578.0,190408.0,0.0,0.0,121.6,,123.03555980548924,125.36463399522256,12.885656910139915,-2.329074189733319,-1.898964828281866,6.0373319088885005,,,,,-16729.0
