Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
SBI,2012-01-01,406.0,416.0,410.0,416.0,2.46 %,1032.0,426858.0,,,,,416.0,416.0,,0.0,0.0,6.0,,,,,0.0
SBI,2012-01-02,416.0,430.0,422.0,430.0,3.37 %,592.0,250916.0,0.033653846153846256,0.03309994842634492,,,418.1538461538462,417.037037037037,99.99999999285714,1.1168091168091792,0.22336182336183585,6.571428571428571,,,,,592.0
SBI,2012-01-03,430.0,446.0,438.0,439.0,2.09 %,1124.0,495528.0,0.020930232558139528,0.020714204387563235,,,421.36094674556216,418.6639231824417,99.99999999267015,2.6970235631204673,0.7180941713135622,7.244897959183673,,,,,1716.0
SBI,2012-01-04,439.0,431.0,431.0,431.0,-1.82 %,86.0,37066.0,-0.018223234624145768,-0.018391322971423544,,,422.8438780154757,419.57770665040897,95.6840076999021,3.2661713650667252,1.227709610064195,7.298833819241982,,,,,1630.0
SBI,2012-01-05,431.0,430.0,423.0,423.0,-1.86 %,484.0,205817.0,-0.018561484918793503,-0.018735911057469818,427.8,,422.8678967823256,419.83120986148975,91.43415573036583,3.036686920835848,1.5895050722185258,7.348917117867555,,,,,1146.0
SBI,2012-01-08,423.0,425.0,421.0,422.0,-0.24 %,600.0,253400.0,-0.0023640661938534313,-0.002366865010266168,429.0,,422.73437420042933,419.9918609828609,90.89071938214823,2.742513217568444,1.8201067012885095,7.109708752305587,,,,,546.0
SBI,2012-01-09,422.0,430.0,428.0,428.0,1.42 %,503.0,215980.0,0.014218009478673022,0.014117881545785022,428.6,,423.5444704772864,420.5850564656119,91.22761386324404,2.9594140116744825,2.047968163365704,7.17330098428376,,,,,1049.0
SBI,2012-01-10,428.0,436.0,425.0,436.0,1.87 %,1052.0,449050.0,0.01869158878504673,0.01851904776723753,428.0,,425.4607057884731,421.7269041348258,91.66997749059784,3.7338016536472765,2.385134861422019,7.446636628263491,,,,,2101.0
SBI,2012-01-11,436.0,444.0,444.0,444.0,1.83 %,20.0,8880.0,0.0183486238532109,0.01818231908319033,430.6,,428.3129048979388,423.3767630878017,92.09904529320784,4.936141810137087,2.8953362511650327,7.486162583387527,,,,,2121.0
SBI,2012-01-12,444.0,443.0,435.0,439.0,-1.13 %,384.0,168516.0,-0.011261261261261257,-0.0113251493570534,433.8,,429.957073375179,424.5340398961127,89.01303025200878,5.423033479066305,3.4008756967452873,7.594293827431276,,,,,1737.0
SBI,2012-01-18,444.0,445.0,445.0,445.0,0.23 %,68.0,30260.0,0.013667425968109326,0.01357486909106885,438.4,,432.2713697789976,426.0500369408451,89.46904269272407,6.221332838152534,3.964967125026737,7.480415696900471,,,,,1805.0
SBI,2012-01-22,445.0,446.0,438.0,445.0,0.00 %,1780.0,791460.0,0.0,0.0,441.8,,434.22962058222873,427.45373790818985,89.46904269205757,6.775882674038883,4.527150234829167,7.51752886140758,,,,,1805.0
SBI,2012-01-23,445.0,440.0,440.0,440.0,-1.12 %,109.0,47960.0,-0.011235955056179803,-0.011299555253933394,442.6,,435.1173712618858,428.38309065573134,86.01856612349343,6.734280606154471,4.968576309094228,7.337705371307039,,,,,1696.0
SBI,2012-01-25,440.0,432.0,418.0,418.0,-5.00 %,268.0,115440.0,-0.050000000000000044,-0.05129329438755058,437.4,,432.483929529288,427.6139728293808,72.7279530087479,4.8699566999071635,4.9488523872568155,8.385012130499394,,,,,1428.0
SBI,2012-01-26,418.0,410.0,400.0,400.0,-4.31 %,65867.0,26349800.0,-0.0430622009569378,-0.04401688541677433,429.6,,427.48640190939756,425.5684933605378,64.01316856435335,1.9179085488597707,4.342663619577407,9.071796978320865,,,,,-64439.0
SBI,2012-01-29,400.0,424.0,408.0,417.0,4.25 %,293.0,122370.0,0.04249999999999998,0.04162167469081945,424.0,,425.87310930795184,424.93379014864615,67.92261559777847,0.9393191593056827,3.661994727523062,10.138097194155089,,,,,-64146.0
SBI,2012-01-31,417.0,427.0,424.0,427.0,2.40 %,593.0,252517.0,0.023980815347721895,0.023697791429823176,420.4,,426.04647710672845,425.0868427302279,69.9880068109395,0.9596343765005599,3.121522657318562,10.128233108858296,,,,,-63553.0
SBI,2012-02-01,427.0,425.0,425.0,425.0,-0.47 %,1569.0,666825.0,-0.004683840749414525,-0.004694844304207729,417.4,,425.8854806287702,425.0804099353962,69.03068003177978,0.8050706933740344,2.6582322645296568,9.547645029654133,,,,,-65122.0
SBI,2012-02-05,425.0,432.0,425.0,426.0,0.24 %,325.0,138538.0,0.0023529411764706687,0.002350177344953673,419.0,,425.9030989935748,425.14852771795944,69.2571110631653,0.7545712756153762,2.277500066746801,9.365670384678838,,,,,-64797.0
SBI,2012-02-06,426.0,425.0,420.0,420.0,-1.41 %,576.0,242900.0,-0.014084507042253502,-0.014184634991956413,423.0,428.55,424.9949299176402,424.76715529440685,66.13278039113692,0.2277746232333584,1.8675549780441125,9.125265357201778,428.55,11.65050258685504,451.85100517371006,405.24899482628996,-65373.0
SBI,2012-02-07,420.0,428.0,420.0,422.0,0.48 %,491.0,206834.0,0.004761904761904745,0.004750602758597799,424.0,428.85,424.53417146877246,424.56218082815445,66.67248849084545,-0.028009359381997,1.4884421105588905,9.044889260258794,428.85,11.38454631229731,451.61909262459466,406.0809073754054,-64882.0
SBI,2012-02-08,422.0,401.0,401.0,401.0,-4.98 %,28000.0,11228000.0,-0.049763033175355464,-0.051043886729442635,418.8,427.4,420.91352970434593,422.816834100143,56.49256192579039,-1.903304395797079,0.8100928092876966,9.89882574166888,427.4,12.967165010944107,453.3343300218882,401.46566997811175,-92882.0
SBI,2012-02-12,401.0,420.0,409.0,417.0,3.99 %,925.0,383513.0,0.03990024937655856,0.039124794492232225,417.2,426.3,420.3114482113697,422.38595750013246,61.33636058965605,-2.0745092887627834,0.23317238967760057,10.548909617263961,426.3,12.864066640309218,452.0281332806185,400.57186671938155,-91957.0
