Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
SHL,2012-01-16,201.0,168.0,168.0,168.0,-16.42 %,100.0,16800.0,,,,,168.0,168.0,,0.0,0.0,0.0,,,,,0.0
SHL,2012-01-23,168.0,171.0,171.0,171.0,1.79 %,113.0,19323.0,0.017857142857142794,0.017699577099400857,,,168.46153846153848,168.2222222222222,99.99999996666666,0.2393162393162811,0.04786324786325622,0.21428571428571427,,,,,113.0
SHL,2012-01-31,171.0,171.0,171.0,171.0,0.00 %,762.0,130302.0,0.0,0.0,,,168.8520710059172,168.4279835390946,99.99999996410257,0.42408746682258425,0.12310809165512183,0.1989795918367347,,,,,113.0
SHL,2012-02-01,171.0,188.0,174.0,188.0,9.94 %,1252.0,229023.0,0.09941520467836251,0.0947784063272893,,,171.7979062357761,169.8777625361987,99.99999997369127,1.9201436995774088,0.4825152132395793,1.3990524781341107,,,,,1365.0
SHL,2012-02-12,188.0,185.0,185.0,185.0,-1.60 %,1496.0,276760.0,-0.015957446808510634,-0.01608613775162438,176.6,,173.82899758411824,170.99792827425804,94.2762581272565,2.8310693098601973,0.952226032563703,1.5134058725531028,,,,,-131.0
SHL,2012-02-27,185.0,188.0,188.0,188.0,1.62 %,133.0,25004.0,0.016216216216216273,0.016086137751624444,180.6,,176.00915180194622,172.25734099468337,94.60858645633418,3.751810807262842,1.5121429875035308,1.6195911673707382,,,,,2.0
SHL,2012-03-06,188.0,190.0,190.0,190.0,1.06 %,914.0,173660.0,0.010638297872340496,0.010582109330537008,184.4,,178.1615899862622,173.57161203211425,94.82433453855171,4.58997795414794,2.127709980832413,1.646763226844257,,,,,916.0
SHL,2012-03-21,190.0,194.0,193.0,194.0,2.11 %,1066.0,206652.0,0.021052631578947434,0.020834086902842053,189.0,,180.59826844991414,175.08482595566136,95.23502934399177,5.513442494252786,2.8048564835164873,1.8148515677839527,,,,,1982.0
SHL,2012-04-02,194.0,197.0,197.0,197.0,1.55 %,133.0,26201.0,0.015463917525773141,0.01534556967466032,190.8,,183.12161176531197,176.70817218116792,95.52202829129949,6.413439584144044,3.526573103641999,1.899505027227956,,,,,2115.0
SHL,2012-05-21,197.0,200.0,200.0,200.0,1.52 %,100.0,20000.0,0.015228426395939021,0.015113637810048106,193.8,,185.7182868783409,178.43349276034067,95.79479533324384,7.284794118000235,4.278217306513646,1.9781118109973879,,,,,2215.0
SHL,2012-05-29,200.0,220.0,204.0,220.0,10.00 %,3348.0,717104.0,0.10000000000000009,0.09531017980432493,200.2,,190.99239658936537,181.51249329661175,97.07428338213016,9.479903292753619,5.318554503761641,3.2653895387832885,,,,,5563.0
SHL,2012-05-31,220.0,236.0,224.0,236.0,7.27 %,1113.0,251712.0,0.07272727272727275,0.07020425867324856,209.4,,197.91664326792454,185.54860490427012,97.6819291432682,12.36803836365442,6.728451275740197,4.175004571727339,,,,,6676.0
SHL,2012-06-03,236.0,240.0,240.0,240.0,1.69 %,108.0,25920.0,0.016949152542372836,0.01680711831638119,218.6,,204.39100584209,189.58204157802788,97.80468433760045,14.808964264062126,8.344553873404584,4.162504245175386,,,,,6784.0
SHL,2012-06-06,240.0,248.0,244.0,248.0,3.33 %,400.0,98500.0,0.03333333333333344,0.03278982282299097,228.8,,211.10008186638385,193.90929775743325,98.02944319278616,17.190784108950595,10.113799920513786,4.436611084805715,,,,,7184.0
SHL,2012-06-07,248.0,244.0,240.0,240.0,-3.23 %,1563.0,375520.0,-0.032258064516129004,-0.03278982282299084,236.8,,215.54622311770942,197.32342384947523,88.29440407344623,18.222799268234184,11.735599790057865,4.69113886446245,,,,,5621.0
SHL,2012-06-10,240.0,236.0,233.0,233.0,-2.92 %,678.0,159474.0,-0.029166666666666674,-0.029600469776290744,239.4,,218.23141956113872,199.96613319395857,80.7390068130375,18.265286367180153,13.041537105482323,4.856057517000846,,,,,4943.0
SHL,2012-06-11,233.0,237.0,237.0,237.0,1.72 %,368.0,87216.0,0.01716738197424883,0.017021687569430524,239.6,,221.11889347480968,202.70938258699866,81.70252922487657,18.409510887811024,14.115131861948065,4.794910551500786,,,,,5311.0
SHL,2012-06-12,237.0,234.0,229.0,230.0,-2.95 %,6996.0,1611705.0,-0.029535864978902926,-0.029980832211935784,237.6,,222.4852175556082,204.73090980277652,74.66347849282843,17.754307752831664,14.842967040124785,5.023845512107873,,,,,-1685.0
SHL,2012-06-13,230.0,226.0,226.0,226.0,-1.74 %,647.0,146222.0,-0.017391304347826098,-0.017544309650909508,233.2,,223.02595331628385,206.30639796553382,70.90426008722349,16.719555350750028,15.218284702249834,4.950713689814454,,,,,-2332.0
SHL,2012-06-18,226.0,226.0,222.0,226.0,0.00 %,467.0,105114.0,0.0,0.0,230.4,209.4,223.4834989599325,207.7651833014202,70.90426008626235,15.718315658512296,15.318290893502327,4.882805569113422,209.4,26.662411941276368,262.72482388255276,156.07517611744726,-2332.0
SHL,2012-06-27,226.0,227.0,223.0,223.0,-1.33 %,6233.0,1400359.0,-0.013274336283185861,-0.013363227812167141,228.4,212.15,223.40911450455826,208.89368824205576,67.92932647981009,14.515426262502501,15.157717967302364,4.819748028462463,212.15,24.948947873607835,262.04789574721565,162.25210425278433,-8565.0
SHL,2012-06-28,223.0,226.0,225.0,226.0,1.35 %,5000.0,1128000.0,0.013452914798206317,0.013363227812167158,226.2,214.9,223.80771227308776,210.1608224463479,69.31577818084997,13.646889826739852,14.855552339189861,4.689766026429431,214.9,23.140076877459546,261.1801537549191,168.6198462450809,-3565.0
SHL,2012-07-01,226.0,229.0,225.0,229.0,1.33 %,2000.0,454000.0,0.01327433628318575,0.013187004281953681,226.0,217.8,224.60652576953578,211.55631707995175,70.6807815907288,13.050208689584025,14.494483609268695,4.640497024541614,217.8,20.872041233745183,259.5440824674904,176.05591753250965,-1565.0
SHL,2012-07-02,229.0,234.0,230.0,230.0,0.44 %,1100.0,253400.0,0.004366812227074135,0.004357305368955626,226.8,219.9,225.43629103576103,212.92251581477015,71.14162556637092,12.51377522099088,14.098341931613133,4.666175808502927,219.9,19.801382195243505,259.502764390487,180.297235609513,-465.0
SHL,2012-07-04,230.0,234.0,234.0,234.0,1.74 %,490.0,114660.0,0.017391304347825987,0.017241806434505954,228.4,222.35,226.75378472256702,214.483810939602,72.97168491632637,12.269973782965025,13.732668301883512,4.61859182218129,222.35,18.224549665940096,258.7990993318802,185.9009006681198,25.0
SHL,2012-07-05,234.0,230.0,230.0,230.0,-1.71 %,8000.0,1840000.0,-0.017094017094017144,-0.017241806434506103,229.8,224.45,227.2532024575567,215.63315827740925,68.30678994278682,11.62004418014746,13.310143477536302,4.574406692025483,224.45,16.385086286973912,257.2201725739478,191.67982742605216,-7975.0
SHL,2012-07-08,230.0,230.0,230.0,230.0,0.00 %,512.0,117760.0,0.0,0.0,230.6,226.45,227.67578669485567,216.69736877537895,68.30678994161119,10.978417919476726,12.843798365924387,4.247663356880806,226.45,14.262482990441503,254.97496598088298,197.925034019117,-7975.0
SHL,2012-07-10,230.0,234.0,234.0,234.0,1.74 %,304.0,71136.0,0.017391304347825987,0.017241806434505954,231.6,228.45,228.64874258795479,217.97904516238793,70.49435967784649,10.669697425566852,12.40897817785288,4.229973117103606,228.45,12.115561980579558,252.6811239611591,204.21887603884088,-7671.0
SHL,2012-07-11,234.0,230.0,230.0,230.0,-1.71 %,5000.0,1150000.0,-0.017094017094017144,-0.017241806434506103,231.6,230.1,228.85662834365405,218.8694862614703,65.6168750975435,9.987142082183738,11.924610958719052,4.213546465881921,230.1,9.591114308786665,249.2822286175733,210.91777138242668,-12671.0
SHL,2012-07-15,230.0,230.0,230.0,230.0,0.00 %,4000.0,920000.0,0.0,0.0,230.8,231.6,229.03253167539958,219.69396876062066,65.61687509632118,9.338562914778919,11.407401349931027,3.9125788611760695,231.6,6.475866127805998,244.551732255612,218.648267744388,-12671.0
SHL,2012-07-17,230.0,230.0,230.0,230.0,0.00 %,500.0,115000.0,0.0,0.0,230.8,232.1,229.18137295610734,220.45737848205619,65.61687509500484,8.723994474051153,10.870719974755053,3.633108942520636,232.1,5.892903850350487,243.88580770070098,220.314192299299,-12671.0
SHL,2012-07-18,230.0,230.0,230.0,230.0,0.00 %,5600.0,1288000.0,0.0,0.0,230.8,231.8,229.30731557824467,221.1642393352372,65.61687509358725,8.14307624300747,10.325191228405538,3.3736011609120196,231.8,5.836365126920929,243.47273025384186,220.12726974615816,-12671.0
SHL,2012-07-22,230.0,231.0,230.0,230.0,0.00 %,6410.0,1474584.0,0.0,0.0,230.0,231.3,229.41388241236086,221.81874012521962,65.61687509206061,7.595142287141243,9.77918144015268,3.2040582208468757,231.3,5.516482479567057,242.33296495913413,220.2670350408659,-12671.0
SHL,2012-07-23,230.0,230.0,230.0,230.0,0.00 %,1533.0,352590.0,0.0,0.0,230.0,230.4,229.50405434892073,222.42475937520337,65.61687509041656,7.079294973717367,9.239204146865617,2.9751969193578134,230.4,3.8716241661881874,238.14324833237637,222.65675166762364,-12671.0
SHL,2012-07-24,230.0,234.0,230.0,234.0,1.74 %,11000.0,2534000.0,0.017391304347825987,0.017241806434505954,230.8,230.1,230.19573829524063,223.2821846066698,68.96639012260401,6.913553688570829,8.774074055206661,3.0483971394036837,230.1,3.275105462344002,236.650210924688,223.549789075312,-1671.0
SHL,2012-07-25,234.0,230.0,230.0,230.0,-1.71 %,10155.0,2335650.0,-0.017094017094017144,-0.017241806434506103,230.8,229.95,230.16562471135745,223.7798005617313,62.418046752857514,6.38582414962616,8.296424074090561,3.116368772303421,229.95,3.2032056312062296,236.35641126241245,223.54358873758753,-11826.0
SHL,2012-07-31,230.0,238.0,234.0,238.0,3.48 %,2086.0,488524.0,0.034782608695652195,0.03419136474827934,232.4,230.0,231.37091321730244,224.8331486682697,68.79889728417163,6.537764549032744,7.944692169078998,3.4651995742817476,230.0,3.324549831022118,236.64909966204425,223.35090033795575,-9740.0
SHL,2012-08-06,238.0,236.0,234.0,234.0,-1.68 %,5142.0,1204512.0,-0.01680672268907568,-0.01694955831377332,233.2,230.2,231.7753881069482,225.51217469284234,63.0359795810801,6.263213414105877,7.608396418084374,3.5033996046901943,230.2,3.4427651065603078,237.0855302131206,223.31446978687939,-14882.0
SHL,2012-08-07,234.0,236.0,234.0,236.0,0.85 %,1100.0,257600.0,0.008547008547008517,0.00851068966790861,234.4,230.7,232.42532839818693,226.2890506415207,64.63125360846405,6.136277756666232,7.313972685800746,3.396013918640895,230.7,3.525844430398242,237.75168886079646,223.6483111392035,-13782.0
SHL,2012-08-13,236.0,236.0,236.0,236.0,0.00 %,1000.0,236000.0,0.0,0.0,234.8,231.2,232.97527787538894,227.0083802236303,64.6312536069621,5.966897651758643,7.044557678992326,3.153441495880831,231.2,3.53330023155657,238.26660046311312,224.13339953688686,-13782.0
SHL,2012-08-14,236.0,236.0,236.0,236.0,0.00 %,859.0,202724.0,0.0,0.0,236.0,231.85,233.44061974071371,227.67442613299102,64.63125360534463,5.766193607722698,6.7888848647384,2.928195674746486,231.85,3.116593957309616,238.08318791461923,225.61681208538076,-13782.0
SHL,2012-08-19,236.0,236.0,236.0,236.0,0.00 %,1273.0,300428.0,0.0,0.0,235.6,232.35,233.83437054983466,228.291135308325,64.63125360360273,5.543235241509649,6.53975494009265,2.719038840836023,232.35,2.924938145995012,238.19987629199002,226.50012370800997,-13782.0
SHL,2012-08-22,236.0,240.0,240.0,240.0,1.69 %,300.0,72000.0,0.016949152542372836,0.01680711831638119,236.8,232.9,234.78292892678317,229.15845861881945,68.31035833344052,5.624470307963719,6.356698013666864,2.8105360664905925,232.9,3.275105462344035,239.45021092468807,226.34978907531195,-13482.0
SHL,2012-08-30,240.0,249.0,237.0,248.0,3.33 %,4854.0,1178146.0,0.03333333333333344,0.03278982282299097,239.2,233.8,236.81632447650884,230.55412835075876,74.11074249427404,6.26219612575008,6.337797636083507,3.4669263474555505,233.8,4.629425336623387,243.05885067324678,224.54114932675324,-8628.0
SHL,2012-09-02,248.0,252.0,252.0,252.0,1.61 %,600.0,151200.0,0.016129032258064502,0.01600034134644112,242.4,234.7,239.15227455704596,232.14271143588772,76.43342859264504,7.009563121158237,6.472150733098454,3.505003036923011,234.7,6.165267740803451,247.03053548160688,222.3694645183931,-8028.0
SHL,2012-09-03,252.0,257.0,252.0,257.0,1.98 %,466.0,117937.0,0.01984126984126977,0.01964699738379642,246.6,236.05,241.8980784713466,233.9839920702664,78.9729087365434,7.914086401080198,6.760537866694802,3.6117885342856533,236.05,7.816817228191385,251.68363445638278,220.41636554361725,-7562.0
SHL,2012-09-05,257.0,261.0,257.0,261.0,1.56 %,1100.0,283100.0,0.015564202334630295,0.015444322427473556,251.6,237.6,244.83683562960096,235.98517784283928,80.75917718923267,8.851657786761677,7.178761850708177,3.6395179246938207,237.6,9.455713950611651,256.51142790122327,218.6885720987767,-6462.0
SHL,2012-09-06,261.0,266.0,260.0,261.0,0.00 %,2417.0,630314.0,0.0,0.0,255.8,238.95,247.32347630197003,237.8381276322586,80.7591771873856,9.485348669711442,7.64007921450883,3.8081237872156906,238.95,10.753090131140137,260.45618026228027,217.4438197377197,-6462.0
SHL,2012-09-09,261.0,266.0,265.0,265.0,1.53 %,478.0,126848.0,0.015325670498084198,0.015209418663528708,259.2,240.7,250.04294148628233,239.8501181780172,82.48482214523035,10.192823308265133,8.15062803326009,3.89325780241457,240.7,11.996051982127167,264.69210396425433,216.70789603574565,-5984.0
SHL,2012-09-10,265.0,269.0,266.0,266.0,0.38 %,841.0,224975.0,0.0037735849056603765,0.0037664827954768648,262.0,242.5,252.4978735653158,241.78714646112704,82.89777930800346,10.710727104188777,8.662647847445829,3.9008822450992438,242.5,12.967570888059358,268.4351417761187,216.5648582238813,-5143.0
SHL,2012-09-11,266.0,266.0,265.0,266.0,0.00 %,1526.0,405516.0,0.0,0.0,263.8,244.3,254.57512378603647,243.5806911677102,82.89777930589864,10.994432618326272,9.129004801621917,3.693676370449298,244.3,13.623122758171604,271.5462455163432,217.0537544836568,-5143.0
SHL,2012-09-12,266.0,270.0,267.0,270.0,1.50 %,963.0,259245.0,0.015037593984962516,0.014925650216675792,265.6,246.3,256.94818166510777,245.53767700713908,84.58391984827082,11.410504657968687,9.585304772891272,3.7155566297029194,246.3,14.331048369481687,274.9620967389634,217.63790326103663,-4180.0
SHL,2012-09-13,270.0,280.0,275.0,280.0,3.70 %,485.0,134780.0,0.03703703703703698,0.03636764417087479,269.4,248.8,260.49461525509116,248.09044167327693,87.8176103021812,12.404173581814234,10.149078534675866,4.164445441866997,248.8,15.639356562346588,280.0787131246932,217.52128687530683,-3695.0
SHL,2012-09-16,280.0,295.0,285.0,295.0,5.36 %,644.0,185315.0,0.0535714285714286,0.05218575317057025,275.4,252.05,265.8031359850771,251.5652237715527,90.9008179866319,14.237912213524424,10.966845270445578,4.938413624590783,252.05,18.088888709283523,288.22777741856703,215.87222258143296,-3051.0
SHL,2012-09-17,295.0,298.0,297.0,297.0,0.68 %,1385.0,411445.0,0.006779661016949046,0.006756782462879687,281.6,255.2,270.6026535258345,254.93076275143767,91.21989351200517,15.671890774396843,11.907854371235832,4.799955508548584,255.2,20.148396827957434,295.49679365591487,214.9032063440851,-1666.0
SHL,2012-09-18,297.0,292.0,292.0,292.0,-1.68 %,200.0,58400.0,-0.01683501683501687,-0.016978336534417906,286.8,258.3,273.89455298339846,257.6766321772571,83.3507850803889,16.217920806141365,12.76986765821694,4.814244400795114,258.3,20.825338816982274,299.9506776339646,216.64932236603545,-1866.0
SHL,2012-09-19,292.0,295.0,295.0,295.0,1.03 %,156.0,46020.0,0.010273972602739656,0.010221554071538009,291.8,261.15,277.1415448321064,260.4413260900529,84.22982464780635,16.700218742053494,13.55593787498425,4.684655515024034,261.15,21.77945676186872,304.7089135237374,217.59108647626255,-1710.0
SHL,2012-09-25,295.0,294.0,290.0,290.0,-1.69 %,402.0,116988.0,-0.016949152542372836,-0.017094433359300068,293.8,263.95,279.11976870409,262.6308574907897,76.9387242398783,16.488911213300298,14.142532542647462,4.707180121093746,263.95,21.704898792184025,307.35979758436804,220.54020241563194,-2112.0
SHL,2012-09-30,290.0,285.0,281.0,281.0,-3.10 %,320.0,90320.0,-0.03103448275862064,-0.031526253646773895,291.0,266.2,279.40903505730694,263.9915347136942,65.88364217644965,15.417500343612744,14.39752610284052,5.013810112444192,266.2,20.975173294560562,308.1503465891211,224.24965341087886,-2432.0
SHL,2012-10-01,281.0,276.0,276.0,276.0,-1.78 %,1000.0,276000.0,-0.017793594306049876,-0.01795380361659582,286.8,268.2,278.8845681254136,264.88105066082795,60.6682094732099,14.003517464585627,14.318724375189543,5.012823675841036,268.2,19.819182626940112,307.8383652538802,228.56163474611975,-3432.0
SHL,2012-10-02,276.0,281.0,281.0,281.0,1.81 %,120.0,33720.0,0.018115942028985588,0.017953803616595845,284.6,270.45,279.2100191830423,266.07504690817404,63.757872482336246,13.134972274868232,14.081973955125282,5.011907698995247,270.45,18.480359417785447,307.4107188355709,233.4892811644291,-3312.0
SHL,2012-10-03,281.0,286.0,272.0,272.0,-3.20 %,1360.0,376580.0,-0.03202846975088969,-0.03255260303774846,280.0,272.25,278.10078546257427,266.51393232238337,55.332234532545,11.586853140190897,13.582949792138406,5.653914291924158,272.25,16.60651425764838,305.46302851529674,239.03697148470323,-4672.0
SHL,2012-10-04,272.0,271.0,270.0,270.0,-0.74 %,1232.0,333372.0,-0.007352941176470562,-0.007380107297622534,276.0,273.75,276.85451077602437,266.7721595577624,53.63595597543409,10.082351218261977,12.88283007736312,5.392920413929576,273.75,14.796425599661605,303.3428511993232,244.1571488006768,-5904.0
SHL,2012-10-07,270.0,265.0,265.0,265.0,-1.85 %,300.0,79500.0,-0.01851851851851849,-0.01869213301215252,272.8,274.6,275.0307398874053,266.6408884794096,49.54657742527993,8.38985140799565,11.984234343489627,5.364854670077463,274.6,13.68595130628121,301.9719026125624,247.2280973874376,-6204.0
SHL,2012-10-09,265.0,270.0,270.0,270.0,1.89 %,142.0,38340.0,0.018867924528301883,0.018692133012152546,271.6,275.5,274.2567799047275,266.88971155500894,53.3748773876935,7.367068349718579,11.060801144735418,5.338793622214787,275.5,12.676127584018767,300.8522551680375,250.14774483196246,-6062.0
SHL,2012-10-10,270.0,276.0,270.0,276.0,2.22 %,535.0,146615.0,0.022222222222222143,0.021978906718775167,270.6,276.45,274.52496761169255,267.5645477361194,57.53854565941265,6.960419875573166,10.24072489090297,5.386022649199446,276.45,11.905217785757705,300.2604355715154,252.6395644284846,-5527.0
SHL,2012-10-11,276.0,280.0,276.0,279.0,1.09 %,1523.0,422104.0,0.010869565217391353,0.010810916104215676,272.0,277.35,275.21343413297063,268.4116182741846,59.48663614899543,6.8018158587860285,9.552943084479582,5.287021031399486,277.35,11.3428623510909,300.0357247021818,254.66427529781822,-4004.0
SHL,2012-10-14,279.0,274.0,274.0,274.0,-1.79 %,1200.0,328800.0,-0.017921146953404965,-0.01808367543329535,272.8,278.0,275.02675195866743,268.82557247609685,54.960781580335464,6.201179482570581,8.882590364097782,5.266519529156665,278.0,10.711528467276239,299.4230569345525,256.5769430654475,-5204.0
SHL,2012-10-15,274.0,277.0,274.0,274.0,0.00 %,1200.0,329400.0,0.0,0.0,274.6,278.45,274.8687901188724,269.2088634037934,54.96078157943482,5.659926715079052,8.238057634294035,5.104625277074046,278.45,10.318481120377415,299.0869622407548,257.81303775924516,-5204.0
SHL,2012-10-18,274.0,279.0,279.0,279.0,1.82 %,200.0,55800.0,0.018248175182481674,0.018083675433295327,276.4,279.1,275.5043608698151,269.93413278129015,58.61267355491821,5.570228088524971,7.7044917251402225,5.097152042997328,279.1,9.893644956552773,298.8872899131056,259.31271008689447,-5004.0
SHL,2012-11-01,279.0,279.0,279.0,279.0,0.00 %,2000.0,558000.0,0.0,0.0,277.0,279.75,276.04215150522816,270.6056785011946,58.6126735538946,5.436473004033587,7.250887980918896,4.7330697542118045,279.75,9.402547247254256,298.5550944945085,260.9449055054915,-5004.0
SHL,2012-11-04,279.0,284.0,283.0,284.0,1.79 %,212.0,60096.0,0.017921146953405076,0.017762456339840468,278.0,280.45,277.2664358890392,271.59785046406904,62.17006786235809,5.668585424970161,6.934427469729149,4.752136200339533,280.45,9.156389773497915,298.76277954699583,262.13722045300415,-4792.0
SHL,2012-11-07,284.0,279.0,279.0,279.0,-1.76 %,883.0,246357.0,-0.017605633802816878,-0.017762456339840388,279.0,280.4,277.53313805995623,272.146157837101,56.9028272032622,5.386980222855243,6.624938020354368,4.769840757458137,280.4,9.161705196374188,298.72341039274835,262.0765896072516,-5675.0
SHL,2012-11-12,279.0,306.0,284.0,306.0,9.68 %,5700.0,1729748.0,0.09677419354838701,0.09237332013101507,285.4,280.95,281.91265528150143,274.6538498491676,71.12799082205241,7.258805432333816,6.751711502750258,6.357709274782556,280.95,10.338863828446755,301.6277276568935,260.27227234310647,25.0
SHL,2012-11-18,306.0,312.0,312.0,312.0,1.96 %,100.0,31200.0,0.019607843137254832,0.019418085857101516,292.0,281.7,286.5414775458858,277.4202313418219,73.24167268373692,9.121246204063937,7.225618443012994,6.3321586122980875,281.7,11.978489492683238,305.65697898536644,257.74302101463354,125.0
SHL,2012-11-20,312.0,324.0,318.0,324.0,3.85 %,1834.0,592716.0,0.03846153846153855,0.03774032798284711,301.0,283.3,292.3043271542111,280.870584575761,76.88625388800584,11.433742578450108,8.067243270100416,6.737004425705367,283.3,15.145261548366491,313.590523096733,253.00947690326703,1959.0
