Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
TRH,2012-01-08,84.0,83.0,83.0,83.0,-1.19 %,70.0,5810.0,,,,,83.0,83.0,,0.0,0.0,0.0,,,,,0.0
TRH,2012-01-31,83.0,82.0,81.0,82.0,-1.20 %,380.0,31080.0,-0.012048192771084376,-0.01212136053234485,,,82.84615384615384,82.92592592592592,0.0,-0.07977207977208423,-0.015954415954416847,0.14285714285714285,,,,,-380.0
TRH,2012-02-07,82.0,82.0,81.0,82.0,0.00 %,1410.0,115610.0,0.0,0.0,,,82.71597633136093,82.85733882030178,0.0,-0.14136248894084247,-0.04103603055170198,0.20408163265306123,,,,,-380.0
TRH,2012-02-21,82.0,81.0,81.0,81.0,-1.22 %,160.0,12960.0,-0.012195121951219523,-0.01227009259181436,,,82.45197997269003,82.7197581669461,0.0,-0.2677781942560671,-0.08638446329257501,0.26093294460641403,,,,,-540.0
TRH,2012-02-23,81.0,80.0,79.0,79.0,-2.47 %,120.0,9590.0,-0.024691358024691357,-0.02500130220541727,81.4,,81.92090613073772,82.44422052495008,0.0,-0.5233143942123633,-0.1737704494765327,0.38515201999167015,,,,,-660.0
TRH,2012-02-27,79.0,80.0,80.0,80.0,1.27 %,30.0,2400.0,0.012658227848101333,0.012578782206860185,80.8,,81.62538211062422,82.26316715273155,7.078185047284663,-0.637785042107339,-0.26657336800269393,0.42906973284940797,,,,,-630.0
TRH,2012-02-29,80.0,79.0,79.0,79.0,-1.25 %,40.0,3160.0,-0.012499999999999956,-0.012578782206860073,80.2,,81.22147717052819,82.02145106734403,6.576853789753088,-0.7999738968158425,-0.3732534737653237,0.4698504662173074,,,,,-670.0
TRH,2012-03-05,79.0,80.0,80.0,80.0,1.27 %,40.0,3200.0,0.012658227848101333,0.012578782206860185,79.8,,81.03355760583155,81.87171395124447,13.197774881800598,-0.8381563454129264,-0.46623404809484426,0.5077182900589283,,,,,-630.0
TRH,2012-03-12,80.0,81.0,81.0,81.0,1.25 %,200.0,16200.0,0.012499999999999956,0.01242251999855711,79.8,,81.02839489724208,81.80714254744859,19.352906268533488,-0.7787476502065118,-0.5287367685171778,0.5428812693404335,,,,,-430.0
TRH,2012-03-15,81.0,81.0,81.0,81.0,0.00 %,140.0,11340.0,0.0,0.0,80.2,,81.02402645151254,81.74735421060055,19.352906267055616,-0.7233277590880078,-0.5676549666313438,0.5041040358161168,,,,,-430.0
TRH,2012-03-19,81.0,80.0,80.0,80.0,-1.23 %,50.0,4000.0,-0.012345679012345734,-0.012422519998557209,80.2,,80.8664839205106,81.61792056537088,17.882291236332705,-0.7514366448602772,-0.6044113022771305,0.5395251761149656,,,,,-480.0
TRH,2012-03-20,80.0,81.0,81.0,81.0,1.25 %,60.0,4860.0,0.012499999999999956,0.01242251999855711,80.6,,80.88702485581666,81.57214867163971,24.094033192630405,-0.6851238158230473,-0.6205538049863139,0.5724162349638967,,,,,-420.0
TRH,2012-03-25,81.0,81.0,81.0,81.0,0.00 %,190.0,15390.0,0.0,0.0,80.8,,80.90440564722948,81.52976728855529,24.09403319066763,-0.6253616413258101,-0.621515372254213,0.5315293610379042,,,,,-420.0
TRH,2012-03-27,81.0,80.0,78.0,78.0,-3.70 %,190.0,15090.0,-0.03703703703703709,-0.037740327982847086,80.2,,80.45757400919418,81.2683030449586,19.073978089085443,-0.8107290357644246,-0.6593581049562554,0.7078486923923396,,,,,-610.0
TRH,2012-03-28,78.0,78.0,77.0,78.0,0.00 %,80.0,6200.0,0.0,0.0,79.6,,80.07948570008737,81.0262065231098,19.07397808765883,-0.9467208230224315,-0.7168306485694906,0.7287166429357439,,,,,-610.0
TRH,2012-04-01,78.0,77.0,76.0,76.0,-2.56 %,140.0,10760.0,-0.02564102564102566,-0.025975486403260677,78.8,,79.45187251545855,80.65389492880539,16.427603593584095,-1.202022413346839,-0.8138690015249603,0.8195225970117621,,,,,-750.0
TRH,2012-04-09,76.0,75.0,74.0,74.0,-2.63 %,400.0,29700.0,-0.02631578947368418,-0.026668247082161294,77.4,,78.61312289769569,80.16101382296794,14.292140872313027,-1.547890925272256,-0.9606733862744196,0.903842411510922,,,,,-1150.0
TRH,2012-05-22,74.0,75.0,75.0,75.0,1.35 %,10.0,750.0,0.013513513513513598,0.01342302033214077,76.2,,78.05725783651172,79.7787165027481,19.898888520517616,-1.721458666236373,-1.1128304422668103,0.9107108106887133,,,,,-1140.0
TRH,2012-05-23,75.0,76.0,76.0,76.0,1.33 %,30.0,2280.0,0.01333333333333342,0.013245226750020723,75.8,,77.74075663089454,79.4988115766186,25.170550960326864,-1.7580549457240693,-1.241875342958262,0.9170886099252338,,,,,-1110.0
TRH,2012-05-24,76.0,77.0,77.0,77.0,1.32 %,20.0,1540.0,0.013157894736842035,0.0130720815673527,75.6,79.2,77.62679407229538,79.31371442279502,30.12308487287453,-1.6869203504996335,-1.3308843444665364,0.9230108520734314,79.2,2.5256578090511437,84.2513156181023,74.14868438189771,-1090.0
TRH,2012-05-29,77.0,81.0,78.0,81.0,5.19 %,330.0,26250.0,0.051948051948051965,0.050643732818754936,76.6,79.1,78.14574883040379,79.43862446555094,45.62537498763888,-1.2928756351471549,-1.32328260260266,1.1427957912110434,79.1,2.403944127558089,83.90788825511618,74.29211174488381,-760.0
TRH,2012-05-30,81.0,84.0,82.0,84.0,3.70 %,830.0,69220.0,0.03703703703703698,0.03636764417087479,78.6,79.2,79.0464028564955,79.7765041347694,53.88806451723679,-0.7301012782738923,-1.2046463377369065,1.2754532346959688,79.2,2.566997016790338,84.33399403358068,74.06600596641933,70.0
TRH,2012-06-03,84.0,85.0,85.0,85.0,1.19 %,120.0,10200.0,0.011904761904761862,0.011834457647002798,80.6,79.35,79.96234087857312,80.1634297544161,56.27332098555422,-0.2010888758429843,-1.003934845358122,1.2557780036462567,79.35,2.8149039433924363,84.97980788678487,73.72019211321512,190.0
TRH,2012-06-04,85.0,84.0,84.0,84.0,-1.18 %,390.0,32760.0,-0.0117647058823529,-0.011834457647002796,82.2,79.5,80.58351920494648,80.44762014297788,53.30394127411108,0.13589906196860113,-0.7759680638927774,1.2375081462429527,79.5,2.9824045403172987,85.4648090806346,73.5351909193654,-200.0
TRH,2012-06-05,84.0,84.0,83.0,83.0,-1.19 %,40.0,3330.0,-0.011904761904761862,-0.01197619104671565,83.4,79.7,80.95528548110856,80.63668531757212,50.43775993228251,0.3186001635364448,-0.5570544184069329,1.2205432786541703,79.7,3.079644545449322,85.85928909089864,73.54071090910136,-240.0
TRH,2012-06-07,83.0,83.0,82.0,82.0,-1.20 %,210.0,17280.0,-0.012048192771084376,-0.01212136053234485,83.6,79.8,81.11601079170724,80.73767159034456,47.676944097676326,0.37833920136267807,-0.3699756944530107,1.2047901873217297,79.8,3.122077580883057,86.04415516176611,73.55584483823388,-450.0
TRH,2012-06-11,82.0,82.0,82.0,82.0,0.00 %,170.0,13940.0,0.0,0.0,83.2,79.95,81.25200913144458,80.83117739846719,47.67694409486589,0.4208317329773905,-0.21181420896693048,1.1187337453701776,79.95,3.153527682152993,86.25705536430598,73.64294463569402,-450.0
TRH,2012-06-12,82.0,81.0,81.0,81.0,-1.22 %,30.0,2430.0,-0.012195121951219523,-0.01227009259181436,82.4,80.0,81.21323849583773,80.8436827763585,44.8309810498813,0.36955571947922294,-0.0955402232776998,1.110252763558022,80.0,3.162277660168374,86.32455532033674,73.67544467966326,-480.0
TRH,2012-06-14,81.0,82.0,81.0,82.0,1.23 %,240.0,19610.0,0.012345679012345734,0.012270092591814401,82.0,80.05,81.33427872724731,80.92933590403565,48.16327340423103,0.4049428232116554,0.004556386020171249,1.1023775661610205,80.05,3.1867323637065454,86.42346472741309,73.6765352725869,-240.0
TRH,2012-06-19,82.0,81.0,81.0,81.0,-1.22 %,40.0,3240.0,-0.012195121951219523,-0.01227009259181436,81.6,80.05,81.28285123074772,80.9345702815145,45.22170181892103,0.34828094923322794,0.0733012986627826,1.0950648828638048,80.05,3.1867323637065454,86.42346472741309,73.6765352725869,-280.0
TRH,2012-06-20,81.0,82.0,82.0,82.0,1.23 %,20.0,1640.0,0.012345679012345734,0.012270092591814401,81.6,80.15,81.39318181063268,81.01349100140231,48.602287145328056,0.37969080923036813,0.1345792007762997,1.0882745340878188,80.15,3.216323497738564,86.58264699547713,73.71735300452288,-260.0
TRH,2012-06-25,82.0,83.0,83.0,83.0,1.22 %,110.0,9130.0,0.012195121951219523,0.01212136053234482,81.8,80.25,81.64038460899688,81.16063981611326,51.80535981498558,0.47974479288362204,0.20361231919776418,1.0819692102244032,80.25,3.2747036828583873,86.79940736571677,73.70059263428323,-150.0
TRH,2012-08-07,83.0,82.0,82.0,82.0,-1.20 %,50.0,4100.0,-0.012048192771084376,-0.01212136053234485,82.0,80.3,81.69571005376659,81.22281464454932,48.54720361355849,0.4728954092172728,0.2574689372016659,1.0761142666369459,80.3,3.2943332525637623,86.88866650512752,73.71133349487248,-200.0
TRH,2012-08-22,82.0,83.0,82.0,82.0,0.00 %,330.0,27280.0,0.0,0.0,82.0,80.5,81.74252389164864,81.28038393013826,48.547203610270394,0.4621399615103883,0.2984031420634104,1.0706775333057355,80.5,3.268671064257729,87.03734212851546,73.96265787148454,-200.0
TRH,2012-08-23,82.0,83.0,82.0,83.0,1.22 %,160.0,13220.0,0.012195121951219523,0.01212136053234482,82.4,80.75,81.93598175447194,81.40776289827618,52.04504460965462,0.5282188561957639,0.34436628488988114,1.0656291380696115,80.75,3.2585918818765163,87.26718376375304,74.23281623624696,-40.0
TRH,2012-08-26,83.0,84.0,83.0,83.0,0.00 %,360.0,30160.0,0.0,0.0,82.6,81.1,82.09967686916856,81.52570638729276,52.04504460584436,0.5739704818758042,0.3902871242870658,1.0609413424932106,81.1,3.093286448525504,87.286572897051,74.91342710294899,-40.0
TRH,2012-08-28,83.0,83.0,83.0,83.0,0.00 %,30.0,2490.0,0.0,0.0,82.6,81.55,82.23818812006571,81.63491332156737,52.045044601741,0.6032747984983473,0.43288465912932217,0.9851598180294099,81.55,2.6252819397462495,86.8005638794925,76.2994361205075,-40.0
TRH,2012-08-29,83.0,86.0,83.0,86.0,3.61 %,480.0,40770.0,0.03614457831325302,0.03550668845690982,83.4,82.1,82.81692840928636,81.95825307552533,61.78041273581392,0.8586753337610276,0.5180427940556633,1.129076973884452,82.1,2.3147126683115613,86.72942533662312,77.47057466337687,440.0
TRH,2012-09-03,86.0,85.0,85.0,85.0,-1.16 %,3070.0,260950.0,-0.011627906976744207,-0.011696039763191298,84.0,82.55,83.15278557708847,82.18356766252346,57.58394641818256,0.9692179145650073,0.6082778181575321,1.1198571900355625,82.55,1.9049796241485013,86.359959248297,78.74004075170299,-2630.0
TRH,2012-09-04,85.0,84.0,84.0,84.0,-1.18 %,10.0,840.0,-0.0117647058823529,-0.011834457647002796,84.2,82.9,83.2831262575364,82.31811820604023,53.65877714237448,0.9650080514961701,0.6796238648252597,1.1112959621758796,82.9,1.4104870379448482,85.7209740758897,80.07902592411031,-2640.0
TRH,2012-09-05,84.0,85.0,85.0,85.0,1.19 %,60.0,5100.0,0.011904761904761862,0.011834457647002798,84.6,83.1,83.54726067945387,82.51677611670391,56.827939065274876,1.0304845627499617,0.7497960044102001,1.103346250591888,83.1,1.4104870379448482,85.92097407588969,80.2790259241103,-2580.0
TRH,2012-09-06,85.0,84.0,84.0,84.0,-1.18 %,290.0,24360.0,-0.0117647058823529,-0.011834457647002796,84.8,83.1,83.61691288261481,82.62664455250362,52.929761975320645,0.9902683301111921,0.7978904695503986,1.0959643755496105,83.1,1.4104870379448482,85.92097407588969,80.2790259241103,-2870.0
TRH,2012-09-09,84.0,85.0,84.0,84.0,0.00 %,40.0,3380.0,0.0,0.0,84.4,83.05,83.67584936221253,82.7283745856515,52.92976197141058,0.9474747765610374,0.8278073309525263,1.089109777296067,83.05,1.3562719801759642,85.76254396035192,80.33745603964807,-2870.0
TRH,2012-09-11,84.0,83.0,83.0,83.0,-1.19 %,20.0,1660.0,-0.011904761904761862,-0.01197619104671565,84.0,83.0,83.57187253725677,82.74849498671435,49.029227869605144,0.8233775505424177,0.8269213748705047,1.0827447932034908,83.0,1.3377121081198415,85.67542421623968,80.32457578376032,-2890.0
