Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turnover,Daily_Return,Log_Return,SMA_5,SMA_20,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,ATR_14,BB_Middle,BB_Std,BB_Upper,BB_Lower,OBV
UNHPL,2019-06-12,150.0,150.0,150.0,150.0,0.00 %,50.0,7500.0,,,,,150.0,150.0,,0.0,0.0,0.0,,,,,0.0
UNHPL,2019-06-17,143.0,143.0,143.0,143.0,-4.67 %,50.0,7150.0,-0.046666666666666634,-0.04779066383634844,,,148.9230769230769,149.48148148148147,0.0,-0.5584045584045612,-0.11168091168091224,0.5,,,,,-50.0
UNHPL,2019-06-18,136.0,136.0,136.0,136.0,-4.90 %,40.0,5440.0,-0.04895104895104896,-0.05018974452385528,,,146.93491124260353,148.48285322359396,0.0,-1.54794198099043,-0.39893312554281585,0.9642857142857143,,,,,-90.0
UNHPL,2019-07-02,130.0,130.0,128.0,128.0,-5.88 %,100.0,12900.0,-0.05882352941176472,-0.060624621816434854,,,144.02184797451068,146.9656048366611,0.0,-2.9437568621504226,-0.9078978728643372,1.4668367346938775,,,,,-190.0
UNHPL,2019-07-03,122.0,122.0,122.0,122.0,-4.69 %,50.0,6100.0,-0.046875,-0.048009219186360606,135.8,,140.6338713630475,145.1163007746862,0.0,-4.482429411638719,-1.6228041806192137,1.7906341107871722,,,,,-240.0
UNHPL,2019-07-04,116.0,116.0,114.0,114.0,-6.56 %,150.0,17200.0,-0.06557377049180324,-0.06782259633876106,128.6,,136.5363526918094,142.81138960619094,0.0,-6.2750369143815306,-2.5532507273716774,2.2341602457309455,,,,,-390.0
UNHPL,2019-07-21,109.0,109.0,103.0,103.0,-9.65 %,130.0,13690.0,-0.0964912280701754,-0.10146946016485965,120.6,,131.3769138161464,139.86239778351012,0.0,-8.485483967363706,-3.739697375370083,2.8602916567501637,,,,,-520.0
UNHPL,2019-07-23,101.0,101.0,99.0,99.0,-3.88 %,20.0,2000.0,-0.03883495145631066,-0.03960913809504583,113.2,,126.39585015212388,136.8355535032501,0.0,-10.439703351126226,-5.0796985705213125,2.9416993955537234,,,,,-540.0
UNHPL,2019-07-24,95.0,95.0,94.0,94.0,-5.05 %,100.0,9450.0,-0.0505050505050505,-0.05182506786458602,106.4,,121.41187320564329,133.6625495400464,0.0,-12.25067633440311,-6.513894123297672,3.088720867299886,,,,,-640.0
UNHPL,2019-07-25,90.0,90.0,85.0,85.0,-9.57 %,3500.0,298087.0,-0.0957446808510638,-0.10064352577968741,99.0,,115.81004655862125,130.0579162407837,0.0,-14.247869682162445,-8.060689235070626,3.51095509106418,,,,,-4140.0
UNHPL,2019-07-31,72.0,72.0,68.0,70.0,-4.11 %,3041.0,209518.0,-0.17647058823529416,-0.1941560144409575,90.2,,108.76234708806415,125.60918170442936,0.0,-16.846834616365214,-9.817918311329544,4.47445829884531,,,,,-7181.0
UNHPL,2019-08-01,70.0,72.0,70.0,72.0,2.86 %,600.0,42550.0,0.02857142857142847,0.028170876966696224,84.0,,103.10660138220813,121.63813120780496,1.966929464418186,-18.531529825596834,-11.560640614183002,4.297711277499217,,,,,-6581.0
UNHPL,2019-08-04,73.0,73.0,71.0,71.0,-1.39 %,1120.0,80650.0,-0.01388888888888884,-0.01398624197473984,78.4,,98.1671242464838,117.88715852574532,1.9463157257542605,-19.720034279261526,-13.192519347198708,4.1335890433921305,,,,,-7701.0
UNHPL,2019-08-05,71.0,71.0,68.0,68.0,-4.23 %,350.0,24450.0,-0.04225352112676062,-0.04317217186520878,73.2,,93.52602820856322,114.19181344976418,1.8825736938479878,-20.665785241200965,-14.68717252599916,4.05261839743555,,,,,-8051.0
UNHPL,2019-08-06,68.0,69.0,68.0,68.0,0.00 %,520.0,35510.0,0.0,0.0,69.8,,89.59894694570734,110.77019763867054,1.8825736938258473,-21.1712506929632,-15.983988159391966,3.834574226190154,,,,,-8051.0
UNHPL,2019-08-07,68.0,69.0,68.0,68.0,0.00 %,200.0,13650.0,0.0,0.0,69.4,,86.27603203098313,107.60203485062087,1.8825736938020015,-21.326002819637736,-17.05239109144112,3.6321046386051434,,,,,-8051.0
UNHPL,2019-08-08,68.0,68.0,68.0,68.0,0.00 %,600.0,40800.0,0.0,0.0,68.6,,83.46433479544727,104.66855078761192,1.8825736937763367,-21.20421599216465,-17.882756071585828,3.3726685929904905,,,,,-8051.0
UNHPL,2019-08-11,67.0,68.0,65.0,67.0,-1.47 %,590.0,39440.0,-0.014705882352941124,-0.014815085785140587,67.8,,80.93136021153231,101.87828776630734,1.8553309107829108,-20.94692755477503,-18.495590368223667,3.346049407776884,,,,,-8641.0
UNHPL,2019-08-12,66.0,66.0,65.0,65.0,-2.99 %,860.0,56300.0,-0.02985074626865669,-0.030305349495328922,67.2,,78.48038171745041,99.14656274658087,1.7992511749752822,-20.666181029130456,-18.929708500405024,3.2499030215071065,,,,,-9501.0
UNHPL,2019-08-13,65.0,69.0,65.0,67.0,3.08 %,750.0,50450.0,0.03076923076923066,0.030305349495328843,67.0,92.9,76.71416914553497,96.76533587646377,4.895047600564524,-20.0511667309288,-19.15400014650978,3.3034813771137417,92.9,29.375786663598717,151.65157332719744,34.14842667280257,-8751.0
UNHPL,2019-08-14,67.0,68.0,66.0,66.0,-1.49 %,610.0,40910.0,-0.014925373134328401,-0.015037877364540559,66.6,88.7,75.06583543083728,94.48642210783682,4.813340672278883,-19.420586676999534,-19.207317452607732,3.21037556446276,88.7,26.661819734949614,142.02363946989922,35.376360530100776,-9361.0
UNHPL,2019-08-15,67.0,67.0,66.0,66.0,0.00 %,570.0,38120.0,0.0,0.0,66.2,84.85,73.67109151840079,92.37631676651557,4.8133406721923535,-18.705225248114786,-19.106899011709142,3.052491595572563,84.85,23.815684791860694,132.48136958372137,37.21863041627861,-9361.0
UNHPL,2019-08-18,65.0,65.0,64.0,65.0,-1.52 %,450.0,29100.0,-0.015151515151515138,-0.01526747213078842,65.8,81.3,72.33707743864682,90.34844145047738,4.721931244413625,-18.011364011830565,-18.887792011733428,2.9773136244602374,81.3,20.903537852163776,123.10707570432754,39.492924295672445,-9811.0
UNHPL,2019-08-19,66.0,66.0,65.0,65.0,0.00 %,250.0,16300.0,0.0,0.0,65.8,78.15,71.2082962942396,88.47077912081238,4.721931244317048,-17.26248282657278,-18.5627301747013,2.836076936998792,78.15,18.047524979751064,114.24504995950213,42.05495004049788,-9811.0
